# Google doc
lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_orig	past_orig
d ˈu	d ˈɪ d	80717	do	did	u -> ɪ d	irregular	NA	dČu	dČId
s ˈeɪ	s ˈɛ d	76541	say	said	e -> ɛ d	irregular	NA	sČe	sČEd
g ˈoʊ	w ˈɛ n t	51830	go	went	g o -> w ɛ n t	irregular	NA	gČo	wČEnt
g ˈɛ t	g ˈa t	42717	get	got	ɛ -> a	irregular	NA	gČEt	gČat
n ˈoʊ	n ˈu	38013	know	knew	o -> u	irregular	NA	nČo	nČu
s ˈi	s ˈɔ	36958	see	saw	i -> ɔ	irregular	NA	sČi	sČ
θ ˈɪ ŋ k	θ ˈɔ t	35874	think	thought	ɪ ŋ k -> ɔ t	irregular	NA	TČINk	TČt
k ˈʌ m	k ˈeɪ m	35152	come	came	ʌ -> e	irregular	NA	kČĂm	kČem
t ˈeɪ k	t ˈʊ k	34323	take	took	e -> ʊ	irregular	NA	tČek	tČUk
l ˈʊ k	l ˈʊ k t	24165	look	looked	∅ -> t	regular	NA	lČUk	lČUkt
g ˈɪ v	g ˈeɪ v	22921	give	gave	ɪ -> e	irregular	NA	gČIv	gČev
w ˈɔ n t	w ˈɔ n t ə d	20077	want	wanted	∅ -> ɪ d	regular	NA	wČnt	wČntŤd
f ˈaɪ n d	f ˈaʊ n d	19525	find	found	ɪ -> ʊ	irregular	NA	fČYnd	fČWnd
t ˈɛ l	t ˈoʊ l d	19040	tell	told	ɛ l -> o l d	irregular	NA	tČEl	tČold
s ˈi m	s ˈi m d	15911	seem	seemed	∅ -> d	regular	NA	sČim	sČimd
f ˈi l	f ˈɛ l t	15489	feel	felt	i l -> ɛ l t	irregular	NA	fČil	fČElt
b ɪ k ˈʌ m	b ɪ k ˈeɪ m	14957	become	became	ʌ -> e	irregular	NA	bIkČĂm	bIkČem
ˈæ s k	ˈæ s k t	14651	ask	asked	∅ -> t	regular	NA	ČQsk	ČQskt
p ˈʊ t	p ˈʊ t	14426	put	put	no_change	irregular	NA	pČUt	pČUt
j ˈu z	j ˈu z d	14307	use	used	∅ -> d	regular	NA	jČuz	jČuzd
l ˈi v	l ˈɛ f t	14042	leave	left	i v -> ɛ f t	irregular	NA	lČiv	lČEft
t ɹ ˈaɪ	t ɹ ˈaɪ d	13237	try	tried	∅ -> d	regular	NA	trČY	trČYd
m ˈi n	m ˈɛ n t	13126	mean	meant	i n -> ɛ n t	irregular	NA	mČin	mČEnt
k ˈɔ l	k ˈɔ l d	12429	call	called	∅ -> d	regular	NA	kČl	kČld
b ɪ g ˈɪ n	b ɪ g ˈæ n	12254	begin	began	ɪ -> ɑ	irregular	NA	bIgČIn	bIgČQn
k ˈi p	k ˈɛ p t	11794	keep	kept	i p -> ɛ p t	irregular	NA	kČip	kČEpt
t ˈɚ n	t ˈɚ n d	10372	turn	turned	∅ -> d	regular	NA	tČŐn	tČŐnd
n ˈi d	n ˈi d ə d	9955	need	needed	∅ -> ɪ d	regular	NA	nČid	nČidŤd
w ˈɚ k	w ˈɚ k t	9925	work	worked	∅ -> t	regular	NA	wČŐk	wČŐkt
l ˈɪ v	l ˈɪ v d	9371	live	lived	∅ -> d	regular	NA	lČIv	lČIvd
b ɹ ˈɪ ŋ	b ɹ ˈɔ t	9176	bring	brought	ɪ ŋ -> ɔ t	irregular	NA	brČIN	brČt
t ˈɔ k	t ˈɔ k t	9141	talk	talked	∅ -> t	regular	NA	tČk	tČkt
h ˈi ɹ	h ˈɚ d	9053	hear	heard	i ɹ -> ɛ ɹ d	irregular	NA	hČir	hČŐd
s ˈɪ t	s ˈæ t	8969	sit	sat	ɪ -> ɑ	irregular	NA	sČIt	sČQt
ʃ ˈoʊ	ʃ ˈoʊ d	8395	show	showed	∅ -> d	regular	NA	SČo	SČod
s t ˈæ n d	s t ˈʊ d	8376	stand	stood	ɑ n -> ʊ	irregular	NA	stČQnd	stČUd
h ˈoʊ l d	h ˈɛ l d	8324	hold	held	o -> ɛ	irregular	NA	hČold	hČEld
ɹ ˈaɪ t	ɹ ˈoʊ t	8317	write	wrote	a ɪ -> o	irregular	NA	rČYt	rČot
tʃ ˈeɪ n dʒ	tʃ ˈeɪ n dʒ d	8239	change	changed	∅ -> d	regular	NA	CČenJ	CČenJd
s t ˈa ɹ t	s t ˈa ɹ t ə d	8092	start	started	∅ -> ɪ d	regular	NA	stČart	stČartŤd
ɹ ˈʌ n	ɹ ˈæ n	7903	run	ran	ʌ -> ɑ	irregular	NA	rČĂn	rČQn
h ˈæ p ə n	h ˈæ p ə n d	7838	happen	happened	∅ -> d	regular	NA	hČQpŤn	hČQpŤnd
l ˈɛ t	l ˈɛ t	7728	let	let	no_change	irregular	NA	lČEt	lČEt
m ˈu v	m ˈu v d	7653	move	moved	∅ -> d	regular	NA	mČuv	mČuvd
b ə l ˈi v	b ə l ˈi v d	7649	believe	believed	∅ -> d	regular	NA	bŤlČiv	bŤlČivd
p l ˈeɪ	p l ˈeɪ d	7245	play	played	∅ -> d	regular	NA	plČe	plČed
h ˈɛ l p	h ˈɛ l p t	6956	help	helped	∅ -> t	regular	NA	hČElp	hČElpt
ɹ ˈi d	ɹ ˈɛ d	6689	read	read	i -> ɛ	irregular	NA	rČid	rČEd
s p ˈi k	s p ˈoʊ k	6655	speak	spoke	i -> o	irregular	NA	spČik	spČok
ɹ ɪ m ˈɛ m b ɚ	ɹ ɪ m ˈɛ m b ɚ d	6538	remember	remembered	∅ -> d	regular	NA	rImČEmbŐ	rImČEmbŐd
p ˈeɪ	p ˈeɪ d	6268	pay	paid	∅ -> d	regular	NA	pČe	pČed
g ɹ ˈoʊ	g ɹ ˈu	6112	grow	grew	o -> u	irregular	NA	grČo	grČu
l ˈu z	l ˈɔ s t	6086	lose	lost	u z -> ɔ s t	irregular	NA	lČuz	lČst
s t ˈa p	s t ˈa p t	5955	stop	stopped	∅ -> t	regular	NA	stČap	stČapt
l ˈaɪ k	l ˈaɪ k t	5855	like	liked	∅ -> t	regular	NA	lČYk	lČYkt
w ˈeɪ t	w ˈeɪ t ə d	5720	wait	waited	∅ -> ɪ d	regular	NA	wČet	wČetŤd
s ˈɛ t	s ˈɛ t	5630	set	set	no_change	irregular	NA	sČEt	sČEt
k ˈeɪ ɹ i	k ˈeɪ ɹ i d	5582	carry	carried	∅ -> d	regular	NA	kČeri	kČerid
w ˈɔ k	w ˈɔ k t	5552	walk	walked	∅ -> t	regular	NA	wČk	wČkt
l ˈɚ n	l ˈɚ n d	5524	learn	learned	∅ -> d	regular	NA	lČŐn	lČŐnd
l ˈɚ n	l ˈɚ n t	5524	learn	learnt	∅ -> t	irregular	***double	lČŐn	lČŐnt
l ˈaɪ	l ˈeɪ	5362	lie	lay	a ɪ -> e	irregular	NA	lČY	lČe
f ˈa l oʊ	f ˈa l oʊ d	5305	follow	followed	∅ -> d	regular	NA	fČalo	fČalod
l ˈi d	l ˈɛ d	5292	lead	led	i -> ɛ	irregular	NA	lČid	lČEd
f ˈɔ l	f ˈɛ l	5276	fall	fell	ɔ -> ɛ	irregular	NA	fČl	fČEl
ə p ˈi ɹ	ə p ˈi ɹ d	5226	appear	appeared	∅ -> d	regular	NA	ŤpČir	ŤpČird
ʌ n d ɚ s t ˈæ n d	ʌ n d ɚ s t ˈʊ d	5220	understand	understood	ɑ n -> ʊ	irregular	NA	ĂndŐstČQnd	ĂndŐstČUd
ˈi t	ˈeɪ t	5183	eat	ate	i -> e	irregular	NA	Čit	Čet
ɪ k s p ˈɛ k t	ɪ k s p ˈɛ k t ə d	5095	expect	expected	∅ -> ɪ d	regular	NA	IkspČEkt	IkspČEktŤd
s p ˈɛ n d	s p ˈɛ n t	5036	spend	spent	d -> t	irregular	NA	spČEnd	spČEnt
s ˈɛ n d	s ˈɛ n t	4822	send	sent	d -> t	irregular	NA	sČEnd	sČEnt
ə l ˈaʊ	ə l ˈaʊ d	4744	allow	allowed	∅ -> d	regular	NA	ŤlČW	ŤlČWd
k ə n t ˈɪ n j u	k ə n t ˈɪ n j u d	4702	continue	continued	∅ -> d	regular	NA	kŤntČInju	kŤntČInjud
ɹ ɪ m ˈeɪ n	ɹ ɪ m ˈeɪ n d	4696	remain	remained	∅ -> d	regular	NA	rImČen	rImČend
p ˈæ s	p ˈæ s t	4687	pass	passed	∅ -> t	regular	NA	pČQs	pČQst
p ɹ ə v ˈaɪ d	p ɹ ə v ˈaɪ d ə d	4664	provide	provided	∅ -> ɪ d	regular	NA	prŤvČYd	prŤvČYdŤd
b ˈaɪ	b ˈɔ t	4594	buy	bought	a ɪ -> ɔ t	irregular	NA	bČY	bČt
ɹ ˈi tʃ	ɹ ˈi tʃ t	4577	reach	reached	∅ -> t	regular	NA	rČiC	rČiCt
d ɪ v ˈɛ l ə p	d ɪ v ˈɛ l ə p t	4492	develop	developed	∅ -> t	regular	NA	dIvČElŤp	dIvČElŤpt
s t ˈeɪ	s t ˈeɪ d	4487	stay	stayed	∅ -> d	regular	NA	stČe	stČed
w ˈa tʃ	w ˈa tʃ t	4483	watch	watched	∅ -> t	regular	NA	wČaC	wČaCt
d ɪ s ˈaɪ d	d ɪ s ˈaɪ d ə d	4479	decide	decided	∅ -> ɪ d	regular	NA	dIsČYd	dIsČYdŤd
p ɹ ə d ˈu s	p ɹ ə d ˈu s t	4397	produce	produced	∅ -> t	regular	NA	prŤdČus	prŤdČust
w ˈeɪ ɹ	w ˈoʊ ɹ	4339	wear	wore	e -> o	irregular	NA	wČer	wČor
b ˈɪ l d	b ˈɪ l t	4336	build	built	d -> t	irregular	NA	bČIld	bČIlt
d ˈaɪ	d ˈaɪ d	4279	die	died	∅ -> d	regular	NA	dČY	dČYd
l ˈʌ v	l ˈʌ v d	4277	love	loved	∅ -> d	regular	NA	lČĂv	lČĂvd
ˈæ d	ˈæ d ə d	4190	add	added	∅ -> ɪ d	regular	NA	ČQd	ČQdŤd
m ˈi t	m ˈɛ t	4182	meet	met	i -> ɛ	irregular	NA	mČit	mČEt
ɪ n k ɹ ˈi s	ɪ n k ɹ ˈi s t	4140	increase	increased	∅ -> t	regular	NA	InkrČis	InkrČist
ˈoʊ p ə n	ˈoʊ p ə n d	4121	open	opened	∅ -> d	regular	NA	ČopŤn	ČopŤnd
s ə g dʒ ˈɛ s t	s ə g dʒ ˈɛ s t ə d	4108	suggest	suggested	∅ -> ɪ d	regular	NA	sŤgJČEst	sŤgJČEstŤd
b ɹ ˈeɪ k	b ɹ ˈoʊ k	4102	break	broke	e -> o	irregular	NA	brČek	brČok
h ˈoʊ p	h ˈoʊ p t	4080	hope	hoped	∅ -> t	regular	NA	hČop	hČopt
