# Google doc
lemma	lemma_type	regular_island	phonotactic_rating	lemma_phon	lemma_ipa	island	past_type	past_type2	past_orth	past_phon	past_ipa	production_prob	production_prob_phonotactic_resid	mean_rating	mean_rating_phonotactic_adjusted	RegDNPN(July) Rescale Adjusted	Nosofsky Rescale Adjusted	Rule-based model predicted	Analogical model predicted
bize	IOR both	voiced_alveolar_fricative	4.571429	bÈYz	b aɪ z	IOR	regular	Regulars	baized	bÈYzd	b aɪ z d	0.666666667	-0.1425210343	5.304348	5.318679549	6.109459653	5.816529196	6.06	5.87
bize	IOR both	voiced_alveolar_fricative	4.571429	bÈYz	b aɪ z	IOR	aɪ->oʊ	Irregulars	boze	bÈoz	b oʊ z	0.231	0.1466281332	4.565217	4.547789847	4.108540429	4.00410594	4.11	4.04
blafe	IOR Reg.	voiceless_fricative	3.571429	blÈef	b l eɪ f	IOR	regular	Regulars	blafed	blÈeft	b l eɪ f t	0.891891892	0.1348667295	6.318182	6.665564802	6.276262472	5.127659089	6.22	5.15
blafe	IOR Reg.	voiceless_fricative	3.571429	blÈef	b l eɪ f	Not IOR	eɪ->ɛ	Irregulars	bleft	blÈEft	b l ɛ f t	0.027	-0.07922299757	4.090909	3.86275965	3.935043196	3.818386374	3.94	3.85
blig	IOR Irreg.	voiced_velar_stop	3.714286	blÈIg	b l ɪ g	Not IOR	regular	Regulars	bligged	blÈIgd	b l ɪ g d	0.775	0.01052305366	5.666667	5.946138845	5.688821743	5.466768835	5.66	5.44
blig	IOR Irreg.	voiced_velar_stop	3.714286	blÈIg	b l ɪ g	IOR	ɪ->ʌ	Irregulars	blug	blÈÃg	b l ʌ g	0.075	-0.02810141058	4.166667	3.968727607	5.191728638	4.064488688	5.19	4.08
bredge	IOR Reg.	postalveolar_fricative_affricate	3.857143	brÈEJ	b ɹ ɛ dʒ	IOR	regular	Regulars	bredged	brÈEJd	b ɹ ɛ dʒ d	0.926829268	0.1549005379	6.333333	6.597790194	6.219581851	5.889241921	6.16	5.85
bredge	IOR Reg.	postalveolar_fricative_affricate	3.857143	brÈEJ	b ɹ ɛ dʒ	Not IOR	ɛ->oʊ	Irregulars	broge	brÈoJ	b ɹ oʊ dʒ	0.049	-0.05097982359	3.428571	3.249974682	3.935043196	3.818386374	3.94	3.85
chake	IOR Irreg.	NA	5.333333	CÈek	tʃ eɪ k	Not IOR	regular	Regulars	chaked	CÈekt	tʃ eɪ k t	0.880952381	0.03202183268	5.73913	5.548152349	4.744423844	5.667830457	4.77	5.65
chake	IOR Irreg.	NA	5.333333	CÈek	tʃ eɪ k	IOR	eɪ->ʊ	Irregulars	chook	CÈUk	tʃ ʊ k	0	-0.06772340284	5.043478	5.188161608	5.127504019	4.24939537	5.13	4.17
chool	IOR Reg.	<missing>	3.761905	CÈul	tʃ u l	IOR	regular	Regulars	chooled	CÈuld	tʃ u l d	0.976744186	0.2097833117	6.125	6.408941684	6.171310513	6.323234837	6.12	6.38
chool	IOR Reg.	<missing>	3.761905	CÈul	tʃ u l	Not IOR	u->oʊ	Irregulars	chole	CÈol	tʃ oʊ l	0.023	-0.07906088158	3.708333	3.514006564	3.935043196	4.066162922	3.94	4.05
dape	IOR Reg.	nonhigh+p	5.142857	dÈep	d eɪ p	IOR	regular	Regulars	daped	dÈept	d eɪ p t	0.976190476	0.1371956394	6.25	6.135211732	6.192959418	5.596762994	6.14	5.56
dape	IOR Reg.	nonhigh+p	5.142857	dÈep	d eɪ p	Not IOR	eɪ->æ	Irregulars	dapt	dÈQpt	d æ p t	0	-0.07188551883	4	4.091819491	3.935043196	3.818386374	3.94	3.85
dize	IOR both	voiced_alveolar_fricative	4.619048	dÈYz	d aɪ z	IOR	regular	Regulars	dized	dÈYzd	d aɪ z d	0.820512821	0.008841191715	5.416667	5.421583449	6.109459653	6.024212828	6.06	5.95
dize	IOR both	voiced_alveolar_fricative	4.619048	dÈYz	d aɪ z	IOR	aɪ->oʊ	Irregulars	doze	dÈoz	d oʊ z	0.154	0.07066866221	5.041667	5.040334388	4.726376408	4.171585397	4.73	4.18
drice	IOR both	voiceless_fricative	3.857143	drÈYs	d ɹ aɪ s	IOR	regular	Regulars	driced	drÈYst	d ɹ aɪ s t	0.953488372	0.1815596419	6.26087	6.52241938	6.276262472	5.463053945	6.22	5.51
drice	IOR both	voiceless_fricative	3.857143	drÈYs	d ɹ aɪ s	IOR	aɪ->oʊ	Irregulars	droce	drÈos	d ɹ oʊ s	0.047	-0.05297982359	4.478261	4.313680534	5.146506561	4.312019684	5.15	4.28
drit	IOR Irreg.	NA	4.3	drÈIt	d ɹ ɪ t	Not IOR	regular	Regulars	dritted	drÈIt«d	d ɹ ɪ t ə d	0.707317073	-0.0877122026	4.956522	5.036253014	5.436453375	5.520567919	5.43	5.29
drit	IOR Irreg.	NA	4.3	drÈIt	d ɹ ɪ t	IOR	no_change	Irregulars	drit	drÈIt	d ɹ ɪ t	0.073	-0.01730289736	5.130435	5.06507773	4.616556281	4.062788152	4.62	4.11
drit	IOR Irreg.	NA	4.3	drÈIt	d ɹ ɪ t	IOR	ɪ->æ	Irregulars	drat	NA	d ɹ æ t	0.098	NA	3.65	3.57	NA	NA	4.06	3.99
fleep	IOR Irreg.	NA	4.238095	flÈip	f l i p	Not IOR	regular	Regulars	fleeped	flÈipt	f l i p t	0.720930233	-0.07086992064	5	5.099574743	5.720781467	5.484358424	5.69	5.56
fleep	IOR Irreg.	NA	4.238095	flÈip	f l i p	IOR	i->ɛ	Irregulars	flept	flÈEpt	f l ɛ p t	0.233	0.1413444084	6.086957	6.021718864	5.146506561	4.678269857	5.15	4.4
flidge	IOR both	postalveolar_fricative_affricate	4.05	flÈIJ	f l ɪ dʒ	IOR	regular	Regulars	flidged	flÈIJd	f l ɪ dʒ d	0.857142857	0.0751542161	6.208333	6.411388973	6.219581851	5.430178934	6.16	5.46
flidge	IOR both	postalveolar_fricative_affricate	4.05	flÈIJ	f l ɪ dʒ	IOR	ɪ->ʌ	Irregulars	fludge	flÈÃJ	f l ʌ dʒ	0.024	-0.07176568006	4.875	4.755134802	4.220771526	4.110781943	4.22	4.1
fro	IOR both	<missing>	5.842105	frÈo	f ɹ oʊ	IOR	regular	Regulars	froed	frÈod	f ɹ oʊ d	0.886363636	0.01089424848	5.833333	5.497386969	5.406841496	5.994995508	5.4	6.16
fro	IOR both	<missing>	5.842105	frÈo	f ɹ oʊ	IOR	oʊ->u	Irregulars	frew	frÈu	f ɹ u	0.091	0.03439384067	4.333333	4.572521918	4.96964808	4.262251736	4.97	4.38
gare	IOR both	<missing>	5.238095	gÈer	g ɛ ɹ	IOR	regular	Regulars	gared	gÈerd	g ɛ ɹ d	0.976190476	0.1322277835	6.565217	6.435233311	6.067781115	6.254141088	6.02	6.27
gare	IOR both	<missing>	5.238095	gÈer	g ɛ ɹ	IOR	ɛ->ɔ	Irregulars	gore	gÈor	g ɔ ɹ	0	-0.06980446083	3.391304	3.49446156	4.302463815	4.233632333	4.3	4.23
gezz	IOR Reg.	voiced_alveolar_fricative	4.190476	gÈEz	g ɛ z	IOR	regular	Regulars	gezzed	gÈEzd	g ɛ z d	0.975609756	0.1862935303	6.608696	6.786747174	6.110849828	5.87435239	6.06	5.89
gezz	IOR Reg.	voiced_alveolar_fricative	4.190476	gÈEz	g ɛ z	Not IOR	ɛ->a	Irregulars	gozz	gÈaz	g a z	0	-0.09269612061	2.521739	2.399163942	3.935043196	3.935526028	3.94	3.95
gleed	IOR Irreg.	NA	5.285714	glÈid	g l i d	Not IOR	regular	Regulars	gleeded	glÈid«d	g l i d ə d	0.56097561	-0.2854710104	4.217391	3.979270881	4.309337504	5.255257416	4.36	5.15
gleed	IOR Irreg.	NA	5.285714	glÈid	g l i d	IOR	i->ɛ	Irregulars	gled	glÈEd	g l ɛ d	0.244	0.1752360682	6	6.147722644	5.068351814	4.943781375	5.07	4.53
gleed	IOR Irreg.	NA	5.285714	glÈid	g l i d	IOR	no_change	Irregulars	gledd	NA	g l i d	0.171	NA	4.09	4.21	NA	NA	3.94	3.99
glip	IOR both	<missing>	4.95	glÈIp	g l ɪ p	IOR	regular	Regulars	glipped	glÈIpt	g l ɪ p t	0.925	0.09606507417	5.954545	5.884285827	6.118511925	5.849050278	6.07	5.8
glip	IOR both	<missing>	4.95	glÈIp	g l ɪ p	IOR	ɪ->ʌ	Irregulars	glup	glÈÃp	g l ʌ p	0.025	-0.05109966235	3.454545	3.499663512	4.019265114	3.914006088	4.02	3.97
glit	IOR Irreg.	NA	5.25	glÈIt	g l ɪ t	Not IOR	regular	Regulars	glitted	glÈIt«d	g l ɪ t ə d	0.642857143	-0.2017265445	5	4.803726242	5.436453375	5.504575635	5.43	5.37
glit	IOR Irreg.	NA	5.25	glÈIt	g l ɪ t	IOR	no_change	Irregulars	glit	glÈIt	g l ɪ t	0.143	0.07345567688	5.208333	5.33818546	4.890515095	4.329083718	4.89	4.32
glit	IOR Irreg.	NA	5.25	glÈIt	g l ɪ t	IOR	ɪ->æ	Irregulars	glat	NA	g l æ t	0.095	NA	3.75	3.86	NA	NA	4.06	3.91
gude	IOR neither	NA	4.25	gÈud	g u d	Not IOR	regular	Regulars	guded	gÈud«d	g u d ə d	0.555555556	-0.2368655927	4.9	4.992081278	6.125584167	5.436737751	6.07	5.26
gude	IOR neither	NA	4.25	gÈud	g u d	Not IOR	no_change	Irregulars	guded	gÈud	g u d	0.333	0.2416045461	5.55	5.480025466	3.95504675	3.910822806	3.96	3.99
nace	IOR Reg.	voiceless_fricative	5	nÈes	n eɪ s	IOR	regular	Regulars	naced	nÈest	n eɪ s t	1	0.1684569472	6.565217	6.504844637	6.276262472	5.583902378	6.22	5.57
nace	IOR Reg.	voiceless_fricative	5	nÈes	n eɪ s	Not IOR	eɪ->oʊ	Irregulars	noce	nÈos	n oʊ s	0	-0.07500710582	2.913043	2.961150628	4.000706775	3.853461974	4	3.89
nold	IOR neither	NA	4.095238	nÈold	n oʊ l d	Not IOR	regular	Regulars	nolded	nÈold«d	n oʊ l d ə d	0.525	-0.2593483698	4.636364	4.76311346	4.746453535	5.450241785	4.78	5.54
