d u	d ɪ d	V;PST;	do	did
s eɪ	s ɛ d	V;PST;	say	said
g oʊ	w ɛ n t	V;PST;	go	went
g ɛ t	g a t	V;PST;	get	got
n oʊ	n u	V;PST;	know	knew
s i	s ɔ	V;PST;	see	saw
θ ɪ ŋ k	θ ɔ t	V;PST;	think	thought
k ʌ m	k eɪ m	V;PST;	come	came
t eɪ k	t ʊ k	V;PST;	take	took
l ʊ k	l ʊ k t	V;PST;	look	looked
g ɪ v	g eɪ v	V;PST;	give	gave
w ɔ n t	w ɔ n t ɨ d	V;PST;	want	wanted
f aɪ n d	f aʊ n d	V;PST;	find	found
t ɛ l	t oʊ l d	V;PST;	tell	told
s i m	s i m d	V;PST;	seem	seemed
f i l	f ɛ l t	V;PST;	feel	felt
b ɪ k ʌ m	b ɪ k eɪ m	V;PST;	become	became
æ s k	æ s k t	V;PST;	ask	asked
p ʊ t	p ʊ t	V;PST;	put	put
j u z	j u z d	V;PST;	use	used
l i v	l ɛ f t	V;PST;	leave	left
t ɹ aɪ	t ɹ aɪ d	V;PST;	try	tried
m i n	m ɛ n t	V;PST;	mean	meant
k ɔ l	k ɔ l d	V;PST;	call	called
b ɪ g ɪ n	b ɪ g æ n	V;PST;	begin	began
k i p	k ɛ p t	V;PST;	keep	kept
t ɝ n	t ɝ n d	V;PST;	turn	turned
n i d	n i d ɨ d	V;PST;	need	needed
w ɝ k	w ɝ k t	V;PST;	work	worked
l ɪ v	l ɪ v d	V;PST;	live	lived
b ɹ ɪ ŋ	b ɹ ɔ t	V;PST;	bring	brought
t ɔ k	t ɔ k t	V;PST;	talk	talked
h i ɹ	h ɝ d	V;PST;	hear	heard
s ɪ t	s æ t	V;PST;	sit	sat
ʃ oʊ	ʃ oʊ d	V;PST;	show	showed
s t æ n d	s t ʊ d	V;PST;	stand	stood
h oʊ l d	h ɛ l d	V;PST;	hold	held
ɹ aɪ t	ɹ oʊ t	V;PST;	write	wrote
tʃ eɪ n dʒ	tʃ eɪ n dʒ d	V;PST;	change	changed
s t a ɹ t	s t a ɹ t ɨ d	V;PST;	start	started
ɹ ʌ n	ɹ æ n	V;PST;	run	ran
h æ p ə n	h æ p ə n d	V;PST;	happen	happened
l ɛ t	l ɛ t	V;PST;	let	let
m u v	m u v d	V;PST;	move	moved
b ə l i v	b ə l i v d	V;PST;	believe	believed
p l eɪ	p l eɪ d	V;PST;	play	played
h ɛ l p	h ɛ l p t	V;PST;	help	helped
ɹ i d	ɹ ɛ d	V;PST;	read	read
s p i k	s p oʊ k	V;PST;	speak	spoke
ɹ ɪ m ɛ m b ɚ	ɹ ɪ m ɛ m b ɚ d	V;PST;	remember	remembered
p eɪ	p eɪ d	V;PST;	pay	paid
g ɹ oʊ	g ɹ u	V;PST;	grow	grew
l u z	l ɔ s t	V;PST;	lose	lost
s t a p	s t a p t	V;PST;	stop	stopped
l aɪ k	l aɪ k t	V;PST;	like	liked
w eɪ t	w eɪ t ɨ d	V;PST;	wait	waited
s ɛ t	s ɛ t	V;PST;	set	set
k eɪ ɹ i	k eɪ ɹ i d	V;PST;	carry	carried
w ɔ k	w ɔ k t	V;PST;	walk	walked
l ɝ n	l ɝ n d	V;PST;	learn	learned
l ɝ n	l ɝ n t	V;PST;	learn	learnt
l aɪ	l eɪ	V;PST;	lie	lay
f a l oʊ	f a l oʊ d	V;PST;	follow	followed
l i d	l ɛ d	V;PST;	lead	led
f ɔ l	f ɛ l	V;PST;	fall	fell
ə p i ɹ	ə p i ɹ d	V;PST;	appear	appeared
ʌ n d ɚ s t æ n d	ʌ n d ɚ s t ʊ d	V;PST;	understand	understood
i t	eɪ t	V;PST;	eat	ate
ɪ k s p ɛ k t	ɪ k s p ɛ k t ɨ d	V;PST;	expect	expected
s p ɛ n d	s p ɛ n t	V;PST;	spend	spent
s ɛ n d	s ɛ n t	V;PST;	send	sent
ə l aʊ	ə l aʊ d	V;PST;	allow	allowed
k ə n t ɪ n j u	k ə n t ɪ n j u d	V;PST;	continue	continued
ɹ ɪ m eɪ n	ɹ ɪ m eɪ n d	V;PST;	remain	remained
p æ s	p æ s t	V;PST;	pass	passed
