lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
d ˈu	d ˈɪ d	80717	do	did	u -> ɪ d	irregular	NA	dˈu	dˈɪd
s ˈeɪ	s ˈɛ d	76541	say	said	eɪ -> ɛ d	irregular	NA	sˈe	sˈɛd
g ˈoʊ	w ˈɛ n t	51830	go	went	g o -> w ɛ n t	irregular	NA	gˈo	wˈɛnt
g ˈɛ t	g ˈa t	42717	get	got	ɛ -> a	irregular	NA	gˈɛt	gˈat
n ˈoʊ	n ˈu	38013	know	knew	oʊ -> u	irregular	NA	nˈo	nˈu
s ˈi	s ˈɔ	36958	see	saw	i -> ɔ	irregular	NA	sˈi	sˈɔ
θ ˈɪ ŋ k	θ ˈɔ t	35874	think	thought	ɪ ŋ k -> ɔ t	irregular	NA	θˈɪŋk	θˈɔt
k ˈʌ m	k ˈeɪ m	35152	come	came	ʌ -> eɪ	irregular	NA	kˈʌm	kˈem
t ˈeɪ k	t ˈʊ k	34323	take	took	eɪ -> ʊ	irregular	NA	tˈek	tˈʊk
l ˈʊ k	l ˈʊ k t	24165	look	looked	∅ -> t	regular	NA	lˈʊk	lˈʊkt
g ˈɪ v	g ˈeɪ v	22921	give	gave	ɪ -> eɪ	irregular	NA	gˈɪv	gˈev
w ˈɔ n t	w ˈɔ n t ɨ d	20077	want	wanted	∅ -> ɨ d	regular	NA	wˈɔnt	wˈɔntɨd
f ˈaɪ n d	f ˈaʊ n d	19525	find	found	aɪ -> aʊ	irregular	NA	fˈYnd	fˈWnd
t ˈɛ l	t ˈoʊ l d	19040	tell	told	ɛ l -> o l d	irregular	NA	tˈɛl	tˈold
s ˈi m	s ˈi m d	15911	seem	seemed	∅ -> d	regular	NA	sˈim	sˈimd
f ˈi l	f ˈɛ l t	15489	feel	felt	i l -> ɛ l t	irregular	NA	fˈil	fˈɛlt
ˈæ s k	ˈæ s k t	14651	ask	asked	∅ -> t	regular	NA	ˈæsk	ˈæskt
p ˈʊ t	p ˈʊ t	14426	put	put	no_change	irregular	NA	pˈʊt	pˈʊt
j ˈu z	j ˈu z d	14307	use	used	∅ -> d	regular	NA	jˈuz	jˈuzd
l ˈi v	l ˈɛ f t	14042	leave	left	i v -> ɛ f t	irregular	NA	lˈiv	lˈɛft
t ɹ ˈaɪ	t ɹ ˈaɪ d	13237	try	tried	∅ -> d	regular	NA	tɹˈY	tɹˈYd
m ˈi n	m ˈɛ n t	13126	mean	meant	i n -> ɛ n t	irregular	NA	mˈin	mˈɛnt
k ˈɔ l	k ˈɔ l d	12429	call	called	∅ -> d	regular	NA	kˈɔl	kˈɔld
k ˈi p	k ˈɛ p t	11794	keep	kept	i p -> ɛ p t	irregular	NA	kˈip	kˈɛpt
t ˈɝ n	t ˈɝ n d	10372	turn	turned	∅ -> d	regular	NA	tˈɝn	tˈɝnd
n ˈi d	n ˈi d ɨ d	9955	need	needed	∅ -> ɨ d	regular	NA	nˈid	nˈidɨd
w ˈɝ k	w ˈɝ k t	9925	work	worked	∅ -> t	regular	NA	wˈɝk	wˈɝkt
l ˈɪ v	l ˈɪ v d	9371	live	lived	∅ -> d	regular	NA	lˈɪv	lˈɪvd
b ɹ ˈɪ ŋ	b ɹ ˈɔ t	9176	bring	brought	ɪ ŋ -> ɔ t	irregular	NA	bɹˈɪŋ	bɹˈɔt
t ˈɔ k	t ˈɔ k t	9141	talk	talked	∅ -> t	regular	NA	tˈɔk	tˈɔkt
h ˈi ɹ	h ˈɝ d	9053	hear	heard	i ɹ -> ɛ ɹ d	irregular	NA	hˈiɹ	hˈɝd
s ˈɪ t	s ˈæ t	8969	sit	sat	ɪ -> æ	irregular	NA	sˈɪt	sˈæt
ʃ ˈoʊ	ʃ ˈoʊ d	8395	show	showed	∅ -> d	regular	NA	ʃˈo	ʃˈod
s t ˈæ n d	s t ˈʊ d	8376	stand	stood	æ n -> ʊ	irregular	NA	stˈænd	stˈʊd
h ˈoʊ l d	h ˈɛ l d	8324	hold	held	oʊ -> ɛ	irregular	NA	hˈold	hˈɛld
ɹ ˈaɪ t	ɹ ˈoʊ t	8317	write	wrote	aɪ -> oʊ	irregular	NA	ɹˈYt	ɹˈot
tʃ ˈeɪ n dʒ	tʃ ˈeɪ n dʒ d	8239	change	changed	∅ -> d	regular	NA	CˈenJ	CˈenJd
