index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
42	v ai̯ t ə r f ɛ r m iː t ə n	v ai̯ t ə r f ɛ r m iː t ə t	weitervermieten	weitervermietet	⋊ v a i t ə r f ɛ r m iː t ə n ⋉	⋊ v a i t ə r f ɛ r m iː t ə t ⋉
53	d r ai̯ n m ɪ ʃ ə n	d r ai̯ n g ə m ɪ ʃ t	dreinmischen	dreingemischt	⋊ d r a i n m ɪ ʃ ə n ⋉	⋊ d r a i n g ə m ɪ ʃ t ⋉
55	yː b ə r ʃ ʊ l d ə n	yː b ə r ʃ ʊ l d ə t	überschulden	überschuldet	⋊ yː b ə r ʃ ʊ l d ə n ⋉	⋊ yː b ə r ʃ ʊ l d ə t ⋉
63	au̯ f ʃ r ɛ k ə n	au̯ f g ə ʃ r ɔ k ə n	aufschrecken	aufgeschrocken	⋊ a u f ʃ r ɛ k ə n ⋉	⋊ a u f g ə ʃ r ɔ k ə n ⋉
82	ai̯ n b ə ʃ t ɛ l ə n	ai̯ n b ə ʃ t ɛ l t	einbestellen	einbestellt	⋊ a i n b ə ʃ t ɛ l ə n ⋉	⋊ a i n b ə ʃ t ɛ l t ⋉
89	ʊ m b ɪ n d ə n	ʊ m g ə b ʊ n d ə n	umbinden	umgebunden	⋊ ʊ m b ɪ n d ə n ⋉	⋊ ʊ m g ə b ʊ n d ə n ⋉
105	f ɔ r ʃ ə n	g ə f ɔ r ʃ t	forschen	geforscht	⋊ f ɔ r ʃ ə n ⋉	⋊ g ə f ɔ r ʃ t ⋉
114	h ɪ n ʃ l aː g ə n	h ɪ n g ə ʃ l aː g ə n	hinschlagen	hingeschlagen	⋊ h ɪ n ʃ l aː g ə n ⋉	⋊ h ɪ n g ə ʃ l aː g ə n ⋉
119	a n ʃ iː b ə n	a n g ə ʃ oː b ə n	anschieben	angeschoben	⋊ a n ʃ iː b ə n ⋉	⋊ a n g ə ʃ oː b ə n ⋉
273	b ə k ʊ n d ə n	b ə k ʊ n d ə t	bekunden	bekundet	⋊ b ə k ʊ n d ə n ⋉	⋊ b ə k ʊ n d ə t ⋉
280	ʃ ɪ m ə r n	g ə ʃ ɪ m ə r t	schimmern	geschimmert	⋊ ʃ ɪ m ə r n ⋉	⋊ g ə ʃ ɪ m ə r t ⋉
284	a p t ai̯ l ə n	a p g ə t ai̯ l t	abteilen	abgeteilt	⋊ a p t a i l ə n ⋉	⋊ a p g ə t a i l t ⋉
291	l ɛ k ʃ l aː g ə n	l ɛ k g ə ʃ l aː g ə n	leckschlagen	leckgeschlagen	⋊ l ɛ k ʃ l aː g ə n ⋉	⋊ l ɛ k g ə ʃ l aː g ə n ⋉
293	b r ɛ m z ə n	g ə b r ɛ m s t	bremsen	gebremst	⋊ b r ɛ m z ə n ⋉	⋊ g ə b r ɛ m s t ⋉
297	ɛ n t g eː g ə n ʃ t eː ə n	ɛ n t g eː g ə n g ə ʃ t a n d ə n	entgegenstehen	entgegengestanden	⋊ ɛ n t g eː g ə n ʃ t eː ə n ⋉	⋊ ɛ n t g eː g ə n g ə ʃ t a n d ə n ⋉
305	ʃ t r a n d ə n	g ə ʃ t r a n d ə t	stranden	gestrandet	⋊ ʃ t r a n d ə n ⋉	⋊ g ə ʃ t r a n d ə t ⋉
349	k ɔ p ə l n	g ə k ɔ p ə l t	koppeln	gekoppelt	⋊ k ɔ p ə l n ⋉	⋊ g ə k ɔ p ə l t ⋉
377	r a s ə l n	g ə r a s ə l t	rasseln	gerasselt	⋊ r a s ə l n ⋉	⋊ g ə r a s ə l t ⋉
415	ɛ r ts oi̯ g ə n	ɛ r ts oi̯ k t	erzeugen	erzeugt	⋊ ɛ r ts o i g ə n ⋉	⋊ ɛ r ts o i k t ⋉
432	r ai̯ n ə n	g ə r ai̯ n t	rainen	geraint	⋊ r a i n ə n ⋉	⋊ g ə r a i n t ⋉
436	ʊ m r ai̯ s ə n	ʊ m r ɪ s ə n	umreissen	umrissen	⋊ ʊ m r a i s ə n ⋉	⋊ ʊ m r ɪ s ə n ⋉
441	p r ɛ z uː m iː r ə n	p r ɛ z uː m iː r t	präsumieren	präsumiert	⋊ p r ɛ z uː m iː r ə n ⋉	⋊ p r ɛ z uː m iː r t ⋉
453	b l ɪ n t ʃ p iː l ə n	b l ɪ n t g ə ʃ p iː l t	blindspielen	blindgespielt	⋊ b l ɪ n t ʃ p iː l ə n ⋉	⋊ b l ɪ n t g ə ʃ p iː l t ⋉
552	ɛ r aː n ə n	ɛ r aː n t	erahnen	erahnt	⋊ ɛ r aː n ə n ⋉	⋊ ɛ r aː n t ⋉
554	ʊ m h au̯ ə n	ʊ m g ə h au̯ n	umhauen	umgehaun	⋊ ʊ m h a u ə n ⋉	⋊ ʊ m g ə h a u n ⋉
561	ai̯ n t yː t ə n	ai̯ n g ə t yː t ə t	eintüten	eingetütet	⋊ a i n t yː t ə n ⋉	⋊ a i n g ə t yː t ə t ⋉
567	ai̯ n k ɛ r k ə r n	ai̯ n g ə k ɛ r k ə r t	einkerkern	eingekerkert	⋊ a i n k ɛ r k ə r n ⋉	⋊ a i n g ə k ɛ r k ə r t ⋉
633	ʊ m ts ai̯ x n ə n	ʊ m g ə ts ai̯ x n ə t	umzeichnen	umgezeichnet	⋊ ʊ m ts a i x n ə n ⋉	⋊ ʊ m g ə ts a i x n ə t ⋉
656	f ɛ r m iː z ə n	f ɛ r m iː s t	vermiesen	vermiest	⋊ f ɛ r m iː z ə n ⋉	⋊ f ɛ r m iː s t ⋉
