stem	output	model_rating	rule_idx	wordform1	wordform2
⋊ b ɑ s t ⋉	⋊ b ɑ s t ɪ d ⋉	0.9811922824107504	6343.0	b ɑː s t	b ɑː s t ɪ d
⋊ b ɑ s t ⋉	⋊ b ɑ s t ⋉	0.1424337694689724	20879.0	b ɑː s t	b ɑː s t
⋊ b ɪ n d ⋉	⋊ b ɪ n d ɪ d ⋉	0.9274172433631276	4976.0	b ɪ n d	b ɪ n d ɪ d
⋊ b ɪ n d ⋉	⋊ b ɪ n t ⋉	0.0657393224265217	21202.0	b ɪ n d	b ɪ n t
⋊ b l a ɪ ⋉	⋊ b l a ɪ d ⋉	0.977025077892844	15753.0	b l aɪ	b l aɪ d
⋊ b l a ɪ ⋉	⋊ b l u ⋉			b l aɪ	b l uː
⋊ b l e k ⋉	⋊ b l e k t ⋉	0.9177916196343302	3015.0	b l eɪ k	b l eɪ k t
⋊ b l e k ⋉	⋊ b l e k ⋉			b l eɪ k	b l eɪ k
⋊ b ɹ ʌ s t ⋉	⋊ b ɹ ʌ s t ɪ d ⋉	0.9811922824107504	6343.0	b r ʌ s t	b r ʌ s t ɪ d
⋊ b ɹ ʌ s t ⋉	⋊ b ɹ ʌ s t ⋉	0.1424337694689724	20879.0	b r ʌ s t	b r ʌ s t
⋊ d ɹ i v ⋉	⋊ d ɹ i v d ⋉	0.9759831801000188	14509.0	d r iː v	d r iː v d
⋊ d ɹ i v ⋉	⋊ d ɹ ɛ f t ⋉			d r iː v	d r ɛ f t
⋊ d ʒ ɪ d ⋉	⋊ d ʒ ɪ d ɪ d ⋉	0.9274172433631276	4976.0	d ʒ ɪ d	d ʒ ɪ d ɪ d
⋊ d ʒ ɪ d ⋉	⋊ d ʒ ɪ d ⋉	0.0760603872418966	20904.0	d ʒ ɪ d	d ʒ ɪ d
⋊ ə l a ɪ z ⋉	⋊ ə l a ɪ z d ⋉	0.9957305480398116	14879.0	ə l aɪ z	ə l aɪ z d
⋊ ə l a ɪ z ⋉	⋊ ə l o z ⋉			ə l aɪ z	ə l əʊ z
⋊ f ɛ t ⋉	⋊ f ɛ t ɪ d ⋉	0.9677353475855744	9006.0	f ɛ t	f ɛ t ɪ d
⋊ f ɛ t ⋉	⋊ f ɛ t ⋉	0.2956715741411534	20909.0	f ɛ t	f ɛ t
⋊ f ɪ l d ⋉	⋊ f ɪ l d ɪ d ⋉	0.9274172433631276	4976.0	f ɪ l d	f ɪ l d ɪ d
⋊ f ɪ l d ⋉	⋊ f ɪ l t ⋉	0.0657393224265217	21202.0	f ɪ l d	f ɪ l t
