stem	output	model_rating	rule_idx	wordform1	wordform2
⋊ b ɑ s t ⋉	⋊ b ɑ s t ɪ d ⋉	0.9811922824107504	6358.0	b ɑː s t	b ɑː s t ɪ d
⋊ b ɑ s t ⋉	⋊ b ɑ s t ⋉	0.1424337694689724	20900.0	b ɑː s t	b ɑː s t
⋊ b ɪ n d ⋉	⋊ b ɪ n d ɪ d ⋉	0.9274172433631276	4712.0	b ɪ n d	b ɪ n d ɪ d
⋊ b ɪ n d ⋉	⋊ b ɪ n t ⋉	0.0657393224265217	21185.0	b ɪ n d	b ɪ n t
⋊ b l a ɪ ⋉	⋊ b l a ɪ d ⋉	0.977025077892844	11302.0	b l aɪ	b l aɪ d
⋊ b l a ɪ ⋉	⋊ b l u ⋉			b l aɪ	b l uː
⋊ b l e k ⋉	⋊ b l e k t ⋉	0.9177916196343302	585.0	b l eɪ k	b l eɪ k t
⋊ b l e k ⋉	⋊ b l e k ⋉			b l eɪ k	b l eɪ k
⋊ b ɹ ʌ s t ⋉	⋊ b ɹ ʌ s t ɪ d ⋉	0.9811922824107504	6358.0	b r ʌ s t	b r ʌ s t ɪ d
⋊ b ɹ ʌ s t ⋉	⋊ b ɹ ʌ s t ⋉	0.1424337694689724	20900.0	b r ʌ s t	b r ʌ s t
⋊ d ɹ i v ⋉	⋊ d ɹ i v d ⋉	0.9759831801000188	15096.0	d r iː v	d r iː v d
⋊ d ɹ i v ⋉	⋊ d ɹ ɛ f t ⋉			d r iː v	d r ɛ f t
⋊ d ʒ ɪ d ⋉	⋊ d ʒ ɪ d ɪ d ⋉	0.9274172433631276	4712.0	d ʒ ɪ d	d ʒ ɪ d ɪ d
⋊ d ʒ ɪ d ⋉	⋊ d ʒ ɪ d ⋉	0.0760603872418966	20816.0	d ʒ ɪ d	d ʒ ɪ d
⋊ ə l a ɪ z ⋉	⋊ ə l a ɪ z d ⋉	0.9957305480398116	15522.0	ə l aɪ z	ə l aɪ z d
⋊ ə l a ɪ z ⋉	⋊ ə l o z ⋉			ə l aɪ z	ə l əʊ z
⋊ f ɛ t ⋉	⋊ f ɛ t ɪ d ⋉	0.9677353475855744	4826.0	f ɛ t	f ɛ t ɪ d
⋊ f ɛ t ⋉	⋊ f ɛ t ⋉	0.2956715741411534	20881.0	f ɛ t	f ɛ t
⋊ f ɪ l d ⋉	⋊ f ɪ l d ɪ d ⋉	0.9274172433631276	4712.0	f ɪ l d	f ɪ l d ɪ d
⋊ f ɪ l d ⋉	⋊ f ɪ l t ⋉	0.0657393224265217	21185.0	f ɪ l d	f ɪ l t
⋊ f ɪ ŋ ⋉	⋊ f ɪ ŋ d ⋉	0.9579917848538718	13324.0	f ɪ ŋ	f ɪ ŋ d
⋊ f ɪ ŋ ⋉	⋊ f ʌ ŋ ⋉			f ɪ ŋ	f ʌ ŋ
⋊ f l ɪ ŋ k ⋉	⋊ f l ɪ ŋ k t ⋉	0.9177916196343302	585.0	f l ɪ ŋ k	f l ɪ ŋ k t
⋊ f l ɪ ŋ k ⋉	⋊ f l ʌ ŋ k ⋉	0.8478608772434439	21325.0	f l ɪ ŋ k	f l ʌ ŋ k
⋊ f ɹ a ɪ v ⋉	⋊ f ɹ a ɪ v d ⋉	0.9759831801000188	15096.0	f r aɪ v	f r aɪ v d
⋊ f ɹ a ɪ v ⋉	⋊ f ɹ o v ⋉	0.4129233150408021	21039.0	f r aɪ v	f r əʊ v
⋊ f ɹ i m ⋉	⋊ f ɹ i m d ⋉	0.9716456237515544	14419.0	f r iː m	f r iː m d
⋊ f ɹ i m ⋉	⋊ f ɹ ɛ m p t ⋉			f r iː m	f r ɛ m p t
⋊ f ɹ ɪ ŋ k ⋉	⋊ f ɹ ɪ ŋ k t ⋉	0.9177916196343302	585.0	f r ɪ ŋ k	f r ɪ ŋ k t
⋊ f ɹ ɪ ŋ k ⋉	⋊ f ɹ a ŋ k ⋉			f r ɪ ŋ k	f r a ŋ k
⋊ g ɑ s t ⋉	⋊ g ɑ s t ɪ d ⋉	0.9811922824107504	6358.0	ɡ ɑː s t	ɡ ɑː s t ɪ d
⋊ g ɑ s t ⋉	⋊ g ɑ s t ⋉	0.1424337694689724	20900.0	ɡ ɑː s t	ɡ ɑː s t
⋊ g e k ⋉	⋊ g e k t ⋉	0.9177916196343302	585.0	ɡ eɪ k	ɡ eɪ k t
⋊ g e k ⋉	⋊ g ʊ k ⋉			ɡ eɪ k	ɡ ʊ k
⋊ g l ɪ t ⋉	⋊ g l ɪ t ɪ d ⋉	0.9541309342730364	4128.0	ɡ l ɪ t	ɡ l ɪ t ɪ d
⋊ g l ɪ t ⋉	⋊ g l ɪ t ⋉	0.5538265108961722	20870.0	ɡ l ɪ t	ɡ l ɪ t
⋊ g ɹ a ɪ ⋉	⋊ g ɹ a ɪ d ⋉	0.9913304298189468	16743.0	ɡ r aɪ	ɡ r aɪ d
⋊ g ɹ a ɪ ⋉	⋊ g ɹ o d ⋉			ɡ r aɪ	ɡ r əʊ d
⋊ g ɹ a ɪ b ⋉	⋊ g ɹ a ɪ b d ⋉	0.985953201381148	13432.0	ɡ r aɪ b	ɡ r aɪ b d
⋊ g ɹ a ɪ b ⋉	⋊ g ɹ o b ⋉	0.199209944460607	21071.0	ɡ r aɪ b	ɡ r əʊ b
⋊ g ɹ a ɪ v ⋉	⋊ g ɹ a ɪ v d ⋉	0.9759831801000188	15096.0	ɡ r aɪ v	ɡ r aɪ v d
⋊ g ɹ a ɪ v ⋉	⋊ g ɹ o v ⋉	0.4129233150408021	21039.0	ɡ r aɪ v	ɡ r əʊ v
⋊ g ɹ e k ⋉	⋊ g ɹ e k t ⋉	0.9177916196343302	585.0	ɡ r eɪ k	ɡ r eɪ k t
⋊ g ɹ e k ⋉	⋊ g ɹ e k ⋉			ɡ r eɪ k	ɡ r eɪ k
⋊ g ɹ ɛ d ⋉	⋊ g ɹ ɛ d ɪ d ⋉	0.9434629980085664	9560.0	ɡ r ɛ d	ɡ r ɛ d ɪ d
⋊ g ɹ ɛ d ⋉	⋊ g ɹ ɛ d ⋉	0.3312873839226512	20828.0	ɡ r ɛ d	ɡ r ɛ d
⋊ g ɹ i m ⋉	⋊ g ɹ i m d ⋉	0.9716456237515544	14419.0	ɡ r iː m	ɡ r iː m d
⋊ g ɹ i m ⋉	⋊ g ɹ ɛ m p t ⋉			ɡ r iː m	ɡ r ɛ m p t
⋊ g ɹ i p ⋉	⋊ g ɹ i p t ⋉	0.9626706765891784	3599.0	ɡ r iː p	ɡ r iː p t
⋊ g ɹ i p ⋉	⋊ g ɹ ɛ p t ⋉	0.793163167681256	21004.0	ɡ r iː p	ɡ r ɛ p t
⋊ g ɹ ɪ ŋ ⋉	⋊ g ɹ ɪ ŋ d ⋉	0.9579917848538718	13324.0	ɡ r ɪ ŋ	ɡ r ɪ ŋ d
⋊ g ɹ ɪ ŋ ⋉	⋊ g ɹ ɔ t ⋉			ɡ r ɪ ŋ	ɡ r ɔː t
