rule_idx	rule	rule_regex	rule_len	hits	scope	confidence
11032	∅ -> d / X [-spread.gl] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -low, +front, -back, -tense] [+C/V, -syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, -strident, -lateral, +rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|w|j|ɹ) (ɛ) (ɹ) __ (⋉)	445	276.0	276.0	0.9978735790350748
7105	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -low, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (o|e) (t) __ (⋉)	420	263.0	263.0	0.9977688383905146
11982	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -front] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə) (l) __ (⋉)	411	237.0	237.0	0.9975250191630928
1945	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (s|θ) __ (⋉)	222	172.0	172.0	0.996594697689105
4315	∅ -> ɨ d / X [+C/V, -syllabic, +consonantal, -continuant, -approximant, -spread.gl, -round, -labiodental, -lateral, -rhotic] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ŋ|n|m|k|g|t|p|d|b) (t) __ (⋉)	361	145.0	145.0	0.995964615255194
13074	∅ -> d / X [+C/V, -syllabic, +consonantal, -spread.gl, -round, -rhotic] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, +low, -front, -back] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð) (a) (ɪ) (z) __ (⋉)	706	122.0	122.0	0.9952095531874277
16347	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -back] [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (a|ə|e|ɛ) (n) __ (⋉)	410	120.0	120.0	0.9951303211538663
16832	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -front] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ|ɨ) (l) __ (⋉)	387	282.0	283.0	0.9941763886994028
4704	∅ -> ɨ d / X [+C/V, -syllabic, +consonantal, +sonorant, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (n|l) (t) __ (⋉)	407	92.0	92.0	0.9936629449742204
8191	∅ -> ɨ d / X [+C/V, -syllabic, +consonantal, -sonorant, -approximant, -nasal, -voice, -spread.gl, -round, -CORONAL, -lateral, -rhotic] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (k|p|f) (t) __ (⋉)	371	84.0	84.0	0.99306596287489
