index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
2	h ɪ t	h ɪ t	hit	hit	⋊ h ɪ t ⋉	⋊ h ɪ t ⋉
8	p l ʌ ŋ k	p l ʌ ŋ k t	plunk	plunked	⋊ p l ʌ ŋ k ⋉	⋊ p l ʌ ŋ k t ⋉
16	k ʊ ʃ n̩	k ʊ ʃ n̩ d	cushion	cushioned	⋊ k ʊ ʃ n ⋉	⋊ k ʊ ʃ n d ⋉
17	w ɔː f t	w ɔː f t ɪ d	waft	wafted	⋊ w ɔ f t ⋉	⋊ w ɔ f t ɪ d ⋉
20	ʌ n d ə v a lˠ j ʊ	ʌ n d ə v a lˠ j ʊ d	undervalue	undervalued	⋊ ʌ n d ə v a l j ʊ ⋉	⋊ ʌ n d ə v a l j ʊ d ⋉
22	b l eɪ z n̩	b l eɪ z n̩ d	blazon	blazoned	⋊ b l e z n ⋉	⋊ b l e z n d ⋉
23	ɔː	ɔː d	awe	awed	⋊ ɔ ⋉	⋊ ɔ d ⋉
25	t eɪ p ə	t eɪ p ə d	taper	tapered	⋊ t e p ə ⋉	⋊ t e p ə d ⋉
32	m ɪ s ʌ n d ə s t a n d	m ɪ s ʌ n d ə s t ʊ d	misunderstand	misunderstood	⋊ m ɪ s ʌ n d ə s t a n d ⋉	⋊ m ɪ s ʌ n d ə s t ʊ d ⋉
41	ɪ n t ɪ g r eɪ t	ɪ n t ɪ g r eɪ t ɪ d	integrate	integrated	⋊ ɪ n t ɪ g ɹ e t ⋉	⋊ ɪ n t ɪ g ɹ e t ɪ d ⋉
44	f uː lˠ	f uː lˠ d	fool	fooled	⋊ f u l ⋉	⋊ f u l d ⋉
46	t ʃ eɪ n	t ʃ eɪ n d	chain	chained	⋊ t ʃ e n ⋉	⋊ t ʃ e n d ⋉
49	d ɔ k t ə	d ɔ k t ə d	doctor	doctored	⋊ d ɔ k t ə ⋉	⋊ d ɔ k t ə d ⋉
50	k ɔ n t r ʊ v ɜː t	k ɔ n t r ʊ v ɜː t ɪ d	controvert	controverted	⋊ k ɔ n t ɹ ʊ v ə t ⋉	⋊ k ɔ n t ɹ ʊ v ə t ɪ d ⋉
55	əʊ v ə d uː	əʊ v ə d ɪ d	overdo	overdid	⋊ o v ə d u ⋉	⋊ o v ə d ɪ d ⋉
