level_0	index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
29	42	v ai̯ t ə r f ɛ r m iː t ə n	v ai̯ t ə r f ɛ r m iː t ə t	weitervermieten	weitervermietet	⋊ v a i t ə r f ɛ r m iː t ə n ⋉	⋊ v a i t ə r f ɛ r m iː t ə t ⋉
36	53	d r ai̯ n m ɪ ʃ ə n	d r ai̯ n g ə m ɪ ʃ t	dreinmischen	dreingemischt	⋊ d r a i n m ɪ ʃ ə n ⋉	⋊ d r a i n g ə m ɪ ʃ t ⋉
38	55	yː b ə r ʃ ʊ l d ə n	yː b ə r ʃ ʊ l d ə t	überschulden	überschuldet	⋊ yː b ə r ʃ ʊ l d ə n ⋉	⋊ yː b ə r ʃ ʊ l d ə t ⋉
41	63	au̯ f ʃ r ɛ k ə n	au̯ f g ə ʃ r ɔ k ə n	aufschrecken	aufgeschrocken	⋊ a u f ʃ r ɛ k ə n ⋉	⋊ a u f g ə ʃ r ɔ k ə n ⋉
56	82	ai̯ n b ə ʃ t ɛ l ə n	ai̯ n b ə ʃ t ɛ l t	einbestellen	einbestellt	⋊ a i n b ə ʃ t ɛ l ə n ⋉	⋊ a i n b ə ʃ t ɛ l t ⋉
62	89	ʊ m b ɪ n d ə n	ʊ m g ə b ʊ n d ə n	umbinden	umgebunden	⋊ ʊ m b ɪ n d ə n ⋉	⋊ ʊ m g ə b ʊ n d ə n ⋉
75	105	f ɔ r ʃ ə n	g ə f ɔ r ʃ t	forschen	geforscht	⋊ f ɔ r ʃ ə n ⋉	⋊ f ɔ r ʃ t ⋉
83	114	h ɪ n ʃ l aː g ə n	h ɪ n g ə ʃ l aː g ə n	hinschlagen	hingeschlagen	⋊ h ɪ n ʃ l aː g ə n ⋉	⋊ h ɪ n g ə ʃ l aː g ə n ⋉
88	119	a n ʃ iː b ə n	a n g ə ʃ oː b ə n	anschieben	angeschoben	⋊ a n ʃ iː b ə n ⋉	⋊ a n g ə ʃ oː b ə n ⋉
203	273	b ə k ʊ n d ə n	b ə k ʊ n d ə t	bekunden	bekundet	⋊ b ə k ʊ n d ə n ⋉	⋊ b ə k ʊ n d ə t ⋉
210	280	ʃ ɪ m ə r n	g ə ʃ ɪ m ə r t	schimmern	geschimmert	⋊ ʃ ɪ m ə r n ⋉	⋊ ʃ ɪ m ə r t ⋉
214	284	a p t ai̯ l ə n	a p g ə t ai̯ l t	abteilen	abgeteilt	⋊ a p t a i l ə n ⋉	⋊ a p g ə t a i l t ⋉
218	291	l ɛ k ʃ l aː g ə n	l ɛ k g ə ʃ l aː g ə n	leckschlagen	leckgeschlagen	⋊ l ɛ k ʃ l aː g ə n ⋉	⋊ l ɛ k g ə ʃ l aː g ə n ⋉
220	293	b r ɛ m z ə n	g ə b r ɛ m s t	bremsen	gebremst	⋊ b r ɛ m z ə n ⋉	⋊ b r ɛ m s t ⋉
223	297	ɛ n t g eː g ə n ʃ t eː ə n	ɛ n t g eː g ə n g ə ʃ t a n d ə n	entgegenstehen	entgegengestanden	⋊ ɛ n t g eː g ə n ʃ t eː ə n ⋉	⋊ ɛ n t g eː g ə n g ə ʃ t a n d ə n ⋉
227	305	ʃ t r a n d ə n	g ə ʃ t r a n d ə t	stranden	gestrandet	⋊ ʃ t r a n d ə n ⋉	⋊ ʃ t r a n d ə t ⋉
264	349	k ɔ p ə l n	g ə k ɔ p ə l t	koppeln	gekoppelt	⋊ k ɔ p ə l n ⋉	⋊ k ɔ p ə l t ⋉
284	377	r a s ə l n	g ə r a s ə l t	rasseln	gerasselt	⋊ r a s ə l n ⋉	⋊ r a s ə l t ⋉
310	415	ɛ r ts oi̯ g ə n	ɛ r ts oi̯ k t	erzeugen	erzeugt	⋊ ɛ r ts o i g ə n ⋉	⋊ ɛ r ts o i k t ⋉
323	432	r ai̯ n ə n	g ə r ai̯ n t	rainen	geraint	⋊ r a i n ə n ⋉	⋊ r a i n t ⋉
326	436	ʊ m r ai̯ s ə n	ʊ m r ɪ s ə n	umreissen	umrissen	⋊ ʊ m r a i s ə n ⋉	⋊ ʊ m r ɪ s ə n ⋉
330	441	p r ɛ z uː m iː r ə n	p r ɛ z uː m iː r t	präsumieren	präsumiert	⋊ p r ɛ z uː m iː r ə n ⋉	⋊ p r ɛ z uː m iː r t ⋉
339	453	b l ɪ n t ʃ p iː l ə n	b l ɪ n t g ə ʃ p iː l t	blindspielen	blindgespielt	⋊ b l ɪ n t ʃ p iː l ə n ⋉	⋊ b l ɪ n t g ə ʃ p iː l t ⋉
410	552	ɛ r aː n ə n	ɛ r aː n t	erahnen	erahnt	⋊ ɛ r aː n ə n ⋉	⋊ ɛ r aː n t ⋉
412	554	ʊ m h au̯ ə n	ʊ m g ə h au̯ n	umhauen	umgehaun	⋊ ʊ m h a u ə n ⋉	⋊ ʊ m g ə h a u n ⋉
417	561	ai̯ n t yː t ə n	ai̯ n g ə t yː t ə t	eintüten	eingetütet	⋊ a i n t yː t ə n ⋉	⋊ a i n g ə t yː t ə t ⋉
419	567	ai̯ n k ɛ r k ə r n	ai̯ n g ə k ɛ r k ə r t	einkerkern	eingekerkert	⋊ a i n k ɛ r k ə r n ⋉	⋊ a i n g ə k ɛ r k ə r t ⋉
464	633	ʊ m ts ai̯ x n ə n	ʊ m g ə ts ai̯ x n ə t	umzeichnen	umgezeichnet	⋊ ʊ m ts a i x n ə n ⋉	⋊ ʊ m g ə ts a i x n ə t ⋉
487	656	f ɛ r m iː z ə n	f ɛ r m iː s t	vermiesen	vermiest	⋊ f ɛ r m iː z ə n ⋉	⋊ f ɛ r m iː s t ⋉
506	685	ɛ n t l au̯ b ə n	ɛ n t l au̯ p t	entlauben	entlaubt	⋊ ɛ n t l a u b ə n ⋉	⋊ ɛ n t l a u p t ⋉
555	754	f ɛ r a l t ə n	f ɛ r a l t ə t	veralten	veraltet	⋊ f ɛ r a l t ə n ⋉	⋊ f ɛ r a l t ə t ⋉
572	778	f ɛ r k ɔ n z uː m iː r ə n	f ɛ r k ɔ n z uː m iː r t	verkonsumieren	verkonsumiert	⋊ f ɛ r k ɔ n z uː m iː r ə n ⋉	⋊ f ɛ r k ɔ n z uː m iː r t ⋉
581	788	a p z uː x ə n	a p g ə z uː x t	absuchen	abgesucht	⋊ a p z uː x ə n ⋉	⋊ a p g ə z uː x t ⋉
591	804	a n t a l j iː r ə n	a n t a l j iː r t	antaillieren	antailliert	⋊ a n t a l j iː r ə n ⋉	⋊ a n t a l j iː r t ⋉
594	807	ɛ r k l ɪ ŋ ə n	ɛ r k l ʊ ŋ ə n	erklingen	erklungen	⋊ ɛ r k l ɪ ŋ ə n ⋉	⋊ ɛ r k l ʊ ŋ ə n ⋉
601	814	p r oː b iː r ə n	p r oː b iː r t	probieren	probiert	⋊ p r oː b iː r ə n ⋉	⋊ p r oː b iː r t ⋉
603	817	au̯ s h ɛ r t ə n	au̯ s g ə h ɛ r t ə t	aushärten	ausgehärtet	⋊ a u s h ɛ r t ə n ⋉	⋊ a u s g ə h ɛ r t ə t ⋉
606	820	m ɛ ts ə l n	g ə m ɛ ts ə l t	metzeln	gemetzelt	⋊ m ɛ ts ə l n ⋉	⋊ m ɛ ts ə l t ⋉
610	824	t r eː m uː l iː r ə n	t r eː m uː l iː r t	tremulieren	tremuliert	⋊ t r eː m uː l iː r ə n ⋉	⋊ t r eː m uː l iː r t ⋉
619	834	f ɛ s t h ɛ f t ə n	f ɛ s t g ə h ɛ f t ə t	festheften	festgeheftet	⋊ f ɛ s t h ɛ f t ə n ⋉	⋊ f ɛ s t g ə h ɛ f t ə t ⋉
627	849	ts ɛ r m a l m ə n	ts ɛ r m a l m t	zermalmen	zermalmt	⋊ ts ɛ r m a l m ə n ⋉	⋊ ts ɛ r m a l m t ⋉
654	892	ʊ ŋ k ə n	g ə ʊ ŋ k t	unken	geunkt	⋊ ʊ ŋ k ə n ⋉	⋊ ʊ ŋ k t ⋉
664	904	a p l ai̯ ə r n	a p g ə l ai̯ ə r t	ableiern	abgeleiert	⋊ a p l a i ə r n ⋉	⋊ a p g ə l a i ə r t ⋉
670	913	k l a k ə n	g ə k l a k t	klacken	geklackt	⋊ k l a k ə n ⋉	⋊ k l a k t ⋉
759	1045	au̯ f ʃ oi̯ x ə n	au̯ f g ə ʃ oi̯ x t	aufscheuchen	aufgescheucht	⋊ a u f ʃ o i x ə n ⋉	⋊ a u f g ə ʃ o i x t ⋉
772	1067	k a t eː g oː r iː z iː r ə n	k a t eː g oː r iː z iː r t	kategorisieren	kategorisiert	⋊ k a t eː g oː r iː z iː r ə n ⋉	⋊ k a t eː g oː r iː z iː r t ⋉
776	1071	h iː n ai̯ n r ɛ n ə n	h iː n ai̯ n g ə r a n t	hineinrennen	hineingerannt	⋊ h iː n a i n r ɛ n ə n ⋉	⋊ h iː n a i n g ə r a n t ⋉
820	1131	l a k iː r ə n	l a k iː r t	lackieren	lackiert	⋊ l a k iː r ə n ⋉	⋊ l a k iː r t ⋉
837	1154	f ɛ r ʃ l iː s ə n	f ɛ r ʃ l ɔ s ə n	verschliessen	verschlossen	⋊ f ɛ r ʃ l iː s ə n ⋉	⋊ f ɛ r ʃ l ɔ s ə n ⋉
841	1159	b ə h au̯ ə n	b ə h au̯ n	behauen	behaun	⋊ b ə h a u ə n ⋉	⋊ b ə h a u n ⋉
842	1160	yː b ə r ai̯ l ə n	yː b ə r ai̯ l t	übereilen	übereilt	⋊ yː b ə r a i l ə n ⋉	⋊ yː b ə r a i l t ⋉
885	1219	au̯ s k r aː g ə n	au̯ s g ə k r aː k t	auskragen	ausgekragt	⋊ a u s k r aː g ə n ⋉	⋊ a u s g ə k r aː k t ⋉
893	1229	f ɛ r ʃ t r oi̯ ə n	f ɛ r ʃ t r oi̯ t	verstreuen	verstreut	⋊ f ɛ r ʃ t r o i ə n ⋉	⋊ f ɛ r ʃ t r o i t ⋉
920	1269	a n k r ai̯ d ə n	a n g ə k r ai̯ d ə t	ankreiden	angekreidet	⋊ a n k r a i d ə n ⋉	⋊ a n g ə k r a i d ə t ⋉
942	1297	h oː x h a l t ə n	h oː x g ə h a l t ə n	hochhalten	hochgehalten	⋊ h oː x h a l t ə n ⋉	⋊ h oː x g ə h a l t ə n ⋉
965	1330	f r ai̯ m a x ə n	f r ai̯ g ə m a x t	freimachen	freigemacht	⋊ f r a i m a x ə n ⋉	⋊ f r a i g ə m a x t ⋉
1003	1384	yː b ə r g eː ə n	yː b ə r g a ŋ ə n	übergehen	übergangen	⋊ yː b ə r g eː ə n ⋉	⋊ yː b ə r g a ŋ ə n ⋉
1015	1398	ts uː r ʏ k l eː n ə n	ts uː r ʏ k g ə l eː n t	zurücklehnen	zurückgelehnt	⋊ ts uː r ʏ k l eː n ə n ⋉	⋊ ts uː r ʏ k g ə l eː n t ⋉
1029	1422	au̯ f b a k ə n	au̯ f g ə b a k ə n	aufbacken	aufgebacken	⋊ a u f b a k ə n ⋉	⋊ a u f g ə b a k ə n ⋉
1047	1453	b l yː ə n	g ə b l yː t	blühen	geblüht	⋊ b l yː ə n ⋉	⋊ b l yː t ⋉
1073	1482	ai̯ n ʃ p a n ə n	ai̯ n g ə ʃ p a n t	einspannen	eingespannt	⋊ a i n ʃ p a n ə n ⋉	⋊ a i n g ə ʃ p a n t ⋉
1081	1494	a n ʃ r ai̯ ə n	a n g ə ʃ r iː n	anschreien	angeschrien	⋊ a n ʃ r a i ə n ⋉	⋊ a n g ə ʃ r iː n ⋉
1084	1498	au̯ s v ɛː g ə n	au̯ s g ə v ɛː k t	auswägen	ausgewägt	⋊ a u s v ɛː g ə n ⋉	⋊ a u s g ə v ɛː k t ⋉
1109	1534	r ʊ n t ə r ʃ l ʊ k ə n	r ʊ n t ə r g ə ʃ l ʊ k t	runterschlucken	runtergeschluckt	⋊ r ʊ n t ə r ʃ l ʊ k ə n ⋉	⋊ r ʊ n t ə r g ə ʃ l ʊ k t ⋉
1119	1547	l eː g iː r ə n	l eː g iː r t	legieren	legiert	⋊ l eː g iː r ə n ⋉	⋊ l eː g iː r t ⋉
1122	1550	z ɪ g n iː r ə n	z ɪ g n iː r t	signieren	signiert	⋊ z ɪ g n iː r ə n ⋉	⋊ z ɪ g n iː r t ⋉
1140	1575	p a r d oː n iː r ə n	p a r d oː n iː r t	pardonieren	pardoniert	⋊ p a r d oː n iː r ə n ⋉	⋊ p a r d oː n iː r t ⋉
1156	1597	h ɛ r ʊ n t ə r ʃ p iː l ə n	h ɛ r ʊ n t ə r g ə ʃ p iː l t	herunterspielen	heruntergespielt	⋊ h ɛ r ʊ n t ə r ʃ p iː l ə n ⋉	⋊ h ɛ r ʊ n t ə r g ə ʃ p iː l t ⋉
1157	1598	f ɛ s ə l n	g ə f ɛ s ə l t	fesseln	gefesselt	⋊ f ɛ s ə l n ⋉	⋊ f ɛ s ə l t ⋉
1166	1611	f ɛ r v ai̯ z ə n	f ɛ r v iː z ə n	verweisen	verwiesen	⋊ f ɛ r v a i z ə n ⋉	⋊ f ɛ r v iː z ə n ⋉
1176	1622	m ɪ s g l ʏ k ə n	m ɪ s g l ʏ k t	missglücken	missglückt	⋊ m ɪ s g l ʏ k ə n ⋉	⋊ m ɪ s g l ʏ k t ⋉
1185	1641	b ʏ ʃ ə l n	g ə b ʏ ʃ ə l t	büscheln	gebüschelt	⋊ b ʏ ʃ ə l n ⋉	⋊ b ʏ ʃ ə l t ⋉
