wordform1	wordform2	stem	output
aː x ə n	ɡ ə aː x t	⋊ aː x ə n ⋉	⋊ aː x t ⋉
aː x ə n	ɡ ə aː x ə n	⋊ aː x ə n ⋉	⋊ aː x ə n ⋉
a l ə n	ɡ ə a l t	⋊ a l ə n ⋉	⋊ a l t ⋉
a l ə n	ɡ ə a l ə n	⋊ a l ə n ⋉	⋊ a l ə n ⋉
a s ə n	ɡ ə a s t	⋊ a s ə n ⋉	⋊ a s t ⋉
a s ə n	ɡ ə a s ə n	⋊ a s ə n ⋉	⋊ a s ə n ⋉
a ʃ ə n	ɡ ə a ʃ t	⋊ a ʃ ə n ⋉	⋊ a ʃ t ⋉
a ʃ ə n	ɡ ə a ʃ ə n	⋊ a ʃ ə n ⋉	⋊ a ʃ ə n ⋉
au̯ f ə n	ɡ ə au̯ f t	⋊ a u f ə n ⋉	⋊ a u f t ⋉
au̯ f ə n	ɡ ə au̯ f ə n	⋊ a u f ə n ⋉	⋊ a u f ə n ⋉
b ai̯ ə n	ɡ ə b ai̯ n	⋊ b a i ə n ⋉	⋊ b a i n ⋉
b ai̯ ə n	ɡ ə b ai̯ t	⋊ b a i ə n ⋉	⋊ b a i t ⋉
b ai̯ f ə n	ɡ ə b ai̯ f ə n	⋊ b a i f ə n ⋉	⋊ b a i f ə n ⋉
b ai̯ f ə n	ɡ ə b ɪ f ə n	⋊ b a i f ə n ⋉	⋊ b ɪ f ə n ⋉
b ai̯ t ə n	ɡ ə b ai̯ t ə t	⋊ b a i t ə n ⋉	⋊ b a i t ə t ⋉
b ai̯ t ə n	ɡ ə b iː t ə n	⋊ b a i t ə n ⋉	⋊ b iː t ə n ⋉
b ə h iː b ə n	b ə h oː b ə n	⋊ b ə h iː b ə n ⋉	⋊ b ə h oː b ə n ⋉
b ə h iː b ə n	b ə h iː p t	⋊ b ə h iː b ə n ⋉	⋊ b ə h iː p t ⋉
b ə h uː t ə n	b ə h uː t ə t	⋊ b ə h uː t ə n ⋉	⋊ b ə h uː t ə t ⋉
b ə h uː t ə n	b ə h uː t ə n	⋊ b ə h uː t ə n ⋉	⋊ b ə h uː t ə n ⋉
b ɛː n ə n	ɡ ə b ɛː n t	⋊ b ɛː n ə n ⋉	⋊ b ɛː n t ⋉
b ɛː n ə n	ɡ ə b aː n t	⋊ b ɛː n ə n ⋉	⋊ b aː n t ⋉
b iːə n	ɡ ə b oː n	⋊ b iː ə n ⋉	⋊ b oː n ⋉
b iːə n	ɡ ə b oː t	⋊ b iː ə n ⋉	⋊ b oː t ⋉
b l ai̯ d ə n	ɡ ə b l ɪ t ə n	⋊ b l a i d ə n ⋉	⋊ b l ɪ t ə n ⋉
b l ai̯ d ə n	ɡ ə b l ai̯ d ə t	⋊ b l a i d ə n ⋉	⋊ b l a i d ə t ⋉
b l ai̯ n ə n	ɡ ə b l ai̯ n t	⋊ b l a i n ə n ⋉	⋊ b l a i n t ⋉
b l ai̯ n ə n	ɡ ə b l iː n ə n	⋊ b l a i n ə n ⋉	⋊ b l iː n ə n ⋉
b r ai̯ ə n	ɡ ə b r ai̯ t	⋊ b r a i ə n ⋉	⋊ b r a i t ⋉
b r ai̯ ə n	ɡ ə b r iː n	⋊ b r a i ə n ⋉	⋊ b r iː n ⋉
b r ɛ f t ə n	ɡ ə b r ɔ f t ə n	⋊ b r ɛ f t ə n ⋉	⋊ b r ɔ f t ə n ⋉
b r ɛ f t ə n	ɡ ə b r ɛ f t ə t	⋊ b r ɛ f t ə n ⋉	⋊ b r ɛ f t ə t ⋉
b r ɛ n d ə n	ɡ ə b r ɛ n d ə t	⋊ b r ɛ n d ə n ⋉	⋊ b r ɛ n d ə t ⋉
b r ɛ n d ə n	ɡ ə b r a n d ə t	⋊ b r ɛ n d ə n ⋉	⋊ b r a n d ə t ⋉
b r ɛ s ə n	ɡ ə b r ɔ s ə n	⋊ b r ɛ s ə n ⋉	⋊ b r ɔ s ə n ⋉
b r ɛ s ə n	ɡ ə b r ɛ s ə n	⋊ b r ɛ s ə n ⋉	⋊ b r ɛ s ə n ⋉
b r uː t ə n	ɡ ə b r uː t ə t	⋊ b r uː t ə n ⋉	⋊ b r uː t ə t ⋉
b r uː t ə n	ɡ ə b r uː t ə n	⋊ b r uː t ə n ⋉	⋊ b r uː t ə n ⋉
d ai̯ t ə n	ɡ ə d ai̯ t ə t	⋊ d a i t ə n ⋉	⋊ d a i t ə t ⋉
d ai̯ t ə n	ɡ ə d iː t ə n	⋊ d a i t ə n ⋉	⋊ d iː t ə n ⋉
d au̯ ə n	ɡ ə d au̯ t	⋊ d a u ə n ⋉	⋊ d a u t ⋉
d au̯ ə n	ɡ ə d au̯ n	⋊ d a u ə n ⋉	⋊ d a u n ⋉
d au̯ f ə n	ɡ ə d ɔ f ə n	⋊ d a u f ə n ⋉	⋊ d ɔ f ə n ⋉
d au̯ f ə n	ɡ ə d au̯ f t	⋊ d a u f ə n ⋉	⋊ d a u f t ⋉
d ɛ n d ə n	ɡ ə d a n d ə t	⋊ d ɛ n d ə n ⋉	⋊ d a n d ə t ⋉
d ɛ n d ə n	ɡ ə d a n t	⋊ d ɛ n d ə n ⋉	⋊ d a n t ⋉
d ɛ r b ə n	ɡ ə d a r b ə n	⋊ d ɛ r b ə n ⋉	⋊ d a r b ə n ⋉
d ɛ r b ə n	ɡ ə d ɛ r p t	⋊ d ɛ r b ə n ⋉	⋊ d ɛ r p t ⋉
d ɪ n d ə n	ɡ ə d ɪ n d ə t	⋊ d ɪ n d ə n ⋉	⋊ d ɪ n d ə t ⋉
d ɪ n d ə n	ɡ ə d ʊ n d ə n	⋊ d ɪ n d ə n ⋉	⋊ d ʊ n d ə n ⋉
