level_0	index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
3	4	f iː l eː r ə	f iː l eː r d ə	fileren	fileerden	⋊ f iː l eː r ə ⋉	⋊ f iː l eː r d ə ⋉
4	5	b ʊ n d ə l ə	b ʊ n d ə l d ə	bundelen	bundelden	⋊ b ʊ n d ə l ə ⋉	⋊ b ʊ n d ə l d ə ⋉
7	11	ɑ f l ɛ b ə r ə	ɑ f l ɛ b ə r d ə	aflebberen	aflebberden	⋊ ɑ f l ɛ b ə r ə ⋉	⋊ ɑ f l ɛ b ə r d ə ⋉
8	13	s m oː r ə	s m oː r d ə	smoren	smoorden	⋊ s m oː r ə ⋉	⋊ s m oː r d ə ⋉
9	14	x r ɛ p ə l ə	x r ɛ p ə l d ə	greppelen	greppelden	⋊ x r ɛ p ə l ə ⋉	⋊ x r ɛ p ə l d ə ⋉
10	16	m ɪ t s ə	m ɪ t s t ə	mitsen	mitsten	⋊ m ɪ t s ə ⋉	⋊ m ɪ t s t ə ⋉
12	19	ɑ f s ɛɪ p ə l ə	ɑ f s ɛɪ p ə l d ə	afsijpelen	afsijpelden	⋊ ɑ f s ɛ ɪ p ə l ə ⋉	⋊ ɑ f s ɛ ɪ p ə l d ə ⋉
18	28	p ɛɪ n ə ɣ ə	p ɛɪ n ə ɣ d ə	pijnigen	pijnigden	⋊ p ɛ ɪ n ə ɣ ə ⋉	⋊ p ɛ ɪ n ə ɣ d ə ⋉
21	32	x uː d ʊ ŋ k ə	x uː d ɔ x t ə	goeddunken	goeddochten	⋊ x uː d ʊ ŋ k ə ⋉	⋊ x uː d ɔ x t ə ⋉
41	55	ɑ f s p ɪ n ə	ɑ f s p ɔ n ə	afspinnen	afsponnen	⋊ ɑ f s p ɪ n ə ⋉	⋊ ɑ f s p ɔ n ə ⋉
48	63	v ɔ l s x ɛ ŋ k ə	v ɔ l s x ɔ ŋ k ə	volschenken	volschonken	⋊ v ɔ l s x ɛ ŋ k ə ⋉	⋊ v ɔ l s x ɔ ŋ k ə ⋉
53	72	ɔ n t l ʊɪ s t ə r ə	ɔ n t l ʊɪ s t ə r d ə	ontluisteren	ontluisterden	⋊ ɔ n t l ʊ ɪ s t ə r ə ⋉	⋊ ɔ n t l ʊ ɪ s t ə r d ə ⋉
58	77	ʊɪ t s t ɔ f ə	ʊɪ t s t ɔ f t ə	uitstoffen	uitstoften	⋊ ʊ ɪ t s t ɔ f ə ⋉	⋊ ʊ ɪ t s t ɔ f t ə ⋉
61	81	ɑ f r ɑ n d ə	ɑ f r ɑ n d ə	afranden	afrandden	⋊ ɑ f r ɑ n d ə ⋉	⋊ ɑ f r ɑ n d ə ⋉
65	87	s x r aː ɣ ə	s x r aː ɣ d ə	schragen	schraagden	⋊ s x r aː ɣ ə ⋉	⋊ s x r aː ɣ d ə ⋉
79	106	v l ɛ k ə	v l ɛ k t ə	vlekken	vlekten	⋊ v l ɛ k ə ⋉	⋊ v l ɛ k t ə ⋉
80	107	d ɛ s ɪ n t ə ɣ r eː r ə	d ɛ s ɪ n t ə ɣ r eː r d ə	desintegreren	desintegreerden	⋊ d ɛ s ɪ n t ə ɣ r eː r ə ⋉	⋊ d ɛ s ɪ n t ə ɣ r eː r d ə ⋉
105	140	b ɪ m b ɑ m ə	b ɪ m b ɑ m d ə	bimbammen	bimbamden	⋊ b ɪ m b ɑ m ə ⋉	⋊ b ɪ m b ɑ m d ə ⋉
109	148	b ə s x ɛ r m ə	b ə s x ɛ r m d ə	beschermen	beschermden	⋊ b ə s x ɛ r m ə ⋉	⋊ b ə s x ɛ r m d ə ⋉
127	168	v ə r v ɛ t ə	v ə r v ɛ t ə	vervetten	vervetten	⋊ v ə r v ɛ t ə ⋉	⋊ v ə r v ɛ t ə ⋉
147	195	b ɑ l ɔ t eː r ə	b ɑ l ɔ t eː r d ə	balloteren	balloteerden	⋊ b ɑ l ɔ t eː r ə ⋉	⋊ b ɑ l ɔ t eː r d ə ⋉
148	196	aː n s l ɛ n t ə r ə	aː n s l ɛ n t ə r d ə	aanslenteren	aanslenterden	⋊ aː n s l ɛ n t ə r ə ⋉	⋊ aː n s l ɛ n t ə r d ə ⋉
157	210	k aː n ɔ n eː r ə	k aː n ɔ n eː r d ə	kanonneren	kanonneerden	⋊ k aː n ɔ n eː r ə ⋉	⋊ k aː n ɔ n eː r d ə ⋉
161	214	d ɛ m p ə	d ɛ m p t ə	dempen	dempten	⋊ d ɛ m p ə ⋉	⋊ d ɛ m p t ə ⋉
163	217	d ɪ s p oː n eː r ə	d ɪ s p oː n eː r d ə	disponeren	disponeerden	⋊ d ɪ s p oː n eː r ə ⋉	⋊ d ɪ s p oː n eː r d ə ⋉
