wordform1	wordform2	stem	output
ɑ s ə	ɑ s t ə	⋊ ɑ s ə ⋉	⋊ ɑ s t ə ⋉
ɑ s ə	ɑ iː s ə	⋊ ɑ s ə ⋉	⋊ ɑ iː s ə ⋉
b ə l ɛɪ z ə	b ə l ɛɪ z d ə	⋊ b ə l ɛ ɪ z ə ⋉	⋊ b ə l ɛ ɪ z d ə ⋉
b ə l ɛɪ z ə	b ə l eː z ə	⋊ b ə l ɛ ɪ z ə ⋉	⋊ b ə l eː z ə ⋉
b ə r aː ɣ ə	b ə r aː ɣ d ə	⋊ b ə r aː ɣ ə ⋉	⋊ b ə r aː ɣ d ə ⋉
b ə r aː ɣ ə	b ə r iː ɣ ə	⋊ b ə r aː ɣ ə ⋉	⋊ b ə r iː ɣ ə ⋉
b ə z eː l ə	b ə z eː l d ə	⋊ b ə z eː l ə ⋉	⋊ b ə z eː l d ə ⋉
b ə z eː l ə	b ə z aː l ə	⋊ b ə z eː l ə ⋉	⋊ b ə z aː l ə ⋉
b ɛɪ ɣ ə	b ɛɪ ɣ d ə	⋊ b ɛ ɪ ɣ ə ⋉	⋊ b ɛ ɪ ɣ d ə ⋉
b ɛɪ ɣ ə	b eː ɣ ə	⋊ b ɛ ɪ ɣ ə ⋉	⋊ b eː ɣ ə ⋉
b ɪ n ə	b ɪ n d ə	⋊ b ɪ n ə ⋉	⋊ b ɪ n d ə ⋉
b ɪ n ə	b ɔ n ə	⋊ b ɪ n ə ⋉	⋊ b ɔ n ə ⋉
b l aː ɣ ə	b l aː ɣ d ə	⋊ b l aː ɣ ə ⋉	⋊ b l aː ɣ d ə ⋉
b l aː ɣ ə	b l iː ɣ ə	⋊ b l aː ɣ ə ⋉	⋊ b l iː ɣ ə ⋉
b l aː p ə	b l aː p t ə	⋊ b l aː p ə ⋉	⋊ b l aː p t ə ⋉
b l aː p ə	b l iː p ə	⋊ b l aː p ə ⋉	⋊ b l iː p ə ⋉
b r aː ɣ ə	b r aː ɣ d ə	⋊ b r aː ɣ ə ⋉	⋊ b r aː ɣ d ə ⋉
b r aː ɣ ə	b r uː ɣ ə	⋊ b r aː ɣ ə ⋉	⋊ b r uː ɣ ə ⋉
b r ɪ ŋ k ə	b r ɪ ŋ k t ə	⋊ b r ɪ ŋ k ə ⋉	⋊ b r ɪ ŋ k t ə ⋉
b r ɪ ŋ k ə	b r ɔ ŋ k ə	⋊ b r ɪ ŋ k ə ⋉	⋊ b r ɔ ŋ k ə ⋉
d ɛɪ ɣ ə	d ɛɪ ɣ d ə	⋊ d ɛ ɪ ɣ ə ⋉	⋊ d ɛ ɪ ɣ d ə ⋉
d ɛɪ ɣ ə	d eː ɣ ə	⋊ d ɛ ɪ ɣ ə ⋉	⋊ d eː ɣ ə ⋉
d r aː z ə	d r aː z d ə	⋊ d r aː z ə ⋉	⋊ d r aː z d ə ⋉
d r aː z ə	d r iː z ə	⋊ d r aː z ə ⋉	⋊ d r iː z ə ⋉
d r eː k ə	d r eː k t ə	⋊ d r eː k ə ⋉	⋊ d r eː k t ə ⋉
d r eː k ə	d r aː k ə	⋊ d r eː k ə ⋉	⋊ d r aː k ə ⋉
f ɪ n ə	f ɪ n d ə	⋊ f ɪ n ə ⋉	⋊ f ɪ n d ə ⋉
