stem	output	model_rating	rule_idx	wordform1	wordform2
⋊ ɑ s ə ⋉	⋊ ɑ s t ə ⋉	0.9367088607594937	724.0	ɑ s ə	ɑ s t ə
⋊ ɑ s ə ⋉	⋊ ɑ iː s ə ⋉			ɑ s ə	ɑ iː s ə
⋊ b ə l ɛ ɪ z ə ⋉	⋊ b ə l ɛ ɪ z d ə ⋉	0.9536178107606679	558.0	b ə l ɛɪ z ə	b ə l ɛɪ z d ə
⋊ b ə l ɛ ɪ z ə ⋉	⋊ b ə l eː z ə ⋉	0.7222222222222222	5344.0	b ə l ɛɪ z ə	b ə l eː z ə
⋊ b ə r aː ɣ ə ⋉	⋊ b ə r aː ɣ d ə ⋉	0.9185694635488308	972.0	b ə r aː ɣ ə	b ə r aː ɣ d ə
⋊ b ə r aː ɣ ə ⋉	⋊ b ə r iː ɣ ə ⋉			b ə r aː ɣ ə	b ə r iː ɣ ə
⋊ b ə z eː l ə ⋉	⋊ b ə z eː l d ə ⋉	0.9792626728110599	274.0	b ə z eː l ə	b ə z eː l d ə
⋊ b ə z eː l ə ⋉	⋊ b ə z aː l ə ⋉	0.4375	22205.0	b ə z eː l ə	b ə z aː l ə
⋊ b ɛ ɪ ɣ ə ⋉	⋊ b ɛ ɪ ɣ d ə ⋉	0.9185694635488308	972.0	b ɛɪ ɣ ə	b ɛɪ ɣ d ə
⋊ b ɛ ɪ ɣ ə ⋉	⋊ b eː ɣ ə ⋉	0.7326732673267327	5104.0	b ɛɪ ɣ ə	b eː ɣ ə
⋊ b ɪ n ə ⋉	⋊ b ɪ n d ə ⋉	0.969593147751606	427.0	b ɪ n ə	b ɪ n d ə
⋊ b ɪ n ə ⋉	⋊ b ɔ n ə ⋉	0.5555555555555556	13550.0	b ɪ n ə	b ɔ n ə
⋊ b l aː ɣ ə ⋉	⋊ b l aː ɣ d ə ⋉	0.9185694635488308	972.0	b l aː ɣ ə	b l aː ɣ d ə
⋊ b l aː ɣ ə ⋉	⋊ b l iː ɣ ə ⋉			b l aː ɣ ə	b l iː ɣ ə
⋊ b l aː p ə ⋉	⋊ b l aː p t ə ⋉	0.8974358974358975	1218.0	b l aː p ə	b l aː p t ə
⋊ b l aː p ə ⋉	⋊ b l iː p ə ⋉	0.4791666666666667	18355.0	b l aː p ə	b l iː p ə
⋊ b r aː ɣ ə ⋉	⋊ b r aː ɣ d ə ⋉	0.9185694635488308	972.0	b r aː ɣ ə	b r aː ɣ d ə
⋊ b r aː ɣ ə ⋉	⋊ b r uː ɣ ə ⋉	0.6333333333333333	9175.0	b r aː ɣ ə	b r uː ɣ ə
⋊ b r ɪ ŋ k ə ⋉	⋊ b r ɪ ŋ k t ə ⋉	0.7689594356261023	4004.0	b r ɪ ŋ k ə	b r ɪ ŋ k t ə
⋊ b r ɪ ŋ k ə ⋉	⋊ b r ɔ ŋ k ə ⋉	0.75	4497.0	b r ɪ ŋ k ə	b r ɔ ŋ k ə
⋊ d ɛ ɪ ɣ ə ⋉	⋊ d ɛ ɪ ɣ d ə ⋉	0.9185694635488308	972.0	d ɛɪ ɣ ə	d ɛɪ ɣ d ə
⋊ d ɛ ɪ ɣ ə ⋉	⋊ d eː ɣ ə ⋉	0.7954545454545454	3348.0	d ɛɪ ɣ ə	d eː ɣ ə
⋊ d r aː z ə ⋉	⋊ d r aː z d ə ⋉	0.9536178107606679	558.0	d r aː z ə	d r aː z d ə
⋊ d r aː z ə ⋉	⋊ d r iː z ə ⋉	0.2835820895522388	35008.0	d r aː z ə	d r iː z ə
⋊ d r eː k ə ⋉	⋊ d r eː k t ə ⋉	0.8085419734904271	2945.0	d r eː k ə	d r eː k t ə
⋊ d r eː k ə ⋉	⋊ d r aː k ə ⋉	0.75	4492.0	d r eː k ə	d r aː k ə
⋊ f ɪ n ə ⋉	⋊ f ɪ n d ə ⋉	0.969593147751606	427.0	f ɪ n ə	f ɪ n d ə
⋊ f ɪ n ə ⋉	⋊ f ɔ n ə ⋉	0.631578947368421	9203.0	f ɪ n ə	f ɔ n ə
⋊ f l ɛ ɪ p ə ⋉	⋊ f l ɛ ɪ p t ə ⋉	0.7956989247311828	3346.0	f l ɛɪ p ə	f l ɛɪ p t ə
⋊ f l ɛ ɪ p ə ⋉	⋊ f l eː p ə ⋉	0.8021978021978022	3149.0	f l ɛɪ p ə	f l eː p ə
⋊ f l ɪ m ə ⋉	⋊ f l ɪ m d ə ⋉	0.9546079779917469	548.0	f l ɪ m ə	f l ɪ m d ə
⋊ f l ɪ m ə ⋉	⋊ f l ɔ m ə ⋉	0.6792452830188679	7002.0	f l ɪ m ə	f l ɔ m ə
⋊ ɣ eː z ə ⋉	⋊ ɣ aː r ə ⋉			ɣ eː z ə	ɣ aː r ə
⋊ ɣ eː z ə ⋉	⋊ ɣ aː z ə ⋉	0.6333333333333333	9168.0	ɣ eː z ə	ɣ aː z ə
⋊ h ɑ l ə ⋉	⋊ h ɑ l d ə ⋉	0.9727868852459016	389.0	h ɑ l ə	h ɑ l d ə
⋊ h ɑ l ə ⋉	⋊ h iː l ə ⋉			h ɑ l ə	h iː l ə
⋊ j ɪ n ə ⋉	⋊ j ɪ n d ə ⋉	0.969593147751606	427.0	j ɪ n ə	j ɪ n d ə
⋊ j ɪ n ə ⋉	⋊ j ɔ n ə ⋉	0.631578947368421	9203.0	j ɪ n ə	j ɔ n ə
⋊ k ɛ ɪ ɣ ə ⋉	⋊ k ɛ ɪ ɣ d ə ⋉	0.9185694635488308	972.0	k ɛɪ ɣ ə	k ɛɪ ɣ d ə
⋊ k ɛ ɪ ɣ ə ⋉	⋊ k eː ɣ ə ⋉	0.7735849056603774	3865.0	k ɛɪ ɣ ə	k eː ɣ ə
⋊ k ɛ r ɣ ə ⋉	⋊ k ɛ r ɣ d ə ⋉	0.9185694635488308	972.0	k ɛ r ɣ ə	k ɛ r ɣ d ə
⋊ k ɛ r ɣ ə ⋉	⋊ k ɔ r ɣ ə ⋉	0.45454545454545453	20343.0	k ɛ r ɣ ə	k ɔ r ɣ ə
⋊ k ɪ n ə ⋉	⋊ k ɪ n d ə ⋉	0.969593147751606	427.0	k ɪ n ə	k ɪ n d ə
⋊ k ɪ n ə ⋉	⋊ k ɔ n ə ⋉	0.5555555555555556	13550.0	k ɪ n ə	k ɔ n ə
⋊ k l ɛ ɪ ɣ ə ⋉	⋊ k l ɛ ɪ ɣ d ə ⋉	0.9185694635488308	972.0	k l ɛɪ ɣ ə	k l ɛɪ ɣ d ə
⋊ k l ɛ ɪ ɣ ə ⋉	⋊ k l eː ɣ ə ⋉	0.8235294117647058	2593.0	k l ɛɪ ɣ ə	k l eː ɣ ə
⋊ k l ɛ ɪ p ə ⋉	⋊ k l ɛ ɪ p t ə ⋉	0.7956989247311828	3346.0	k l ɛɪ p ə	k l ɛɪ p t ə
⋊ k l ɛ ɪ p ə ⋉	⋊ k l eː p ə ⋉	0.8021978021978022	3149.0	k l ɛɪ p ə	k l eː p ə
⋊ k n eː k ə ⋉	⋊ k n eː k t ə ⋉	0.8085419734904271	2945.0	k n eː k ə	k n eː k t ə
⋊ k n eː k ə ⋉	⋊ k n aː k ə ⋉	0.39603960396039606	25035.0	k n eː k ə	k n aː k ə
⋊ k n ɪ m ə ⋉	⋊ k n ɪ m d ə ⋉	0.9546079779917469	548.0	k n ɪ m ə	k n ɪ m d ə
⋊ k n ɪ m ə ⋉	⋊ k n ɔ m ə ⋉			k n ɪ m ə	k n ɔ m ə
⋊ k n ɪ ŋ ə ⋉	⋊ k n ɪ ŋ d ə ⋉	0.9444765760555234	652.0	k n ɪ ŋ ə	k n ɪ ŋ d ə
⋊ k n ɪ ŋ ə ⋉	⋊ k n ɔ ŋ ə ⋉			k n ɪ ŋ ə	k n ɔ ŋ ə
⋊ k r aː ɣ ə ⋉	⋊ k r aː ɣ d ə ⋉	0.9185694635488308	972.0	k r aː ɣ ə	k r aː ɣ d ə
⋊ k r aː ɣ ə ⋉	⋊ k r uː ɣ ə ⋉	0.627906976744186	9671.0	k r aː ɣ ə	k r uː ɣ ə
⋊ k r eː k ə ⋉	⋊ k r eː k t ə ⋉	0.8085419734904271	2945.0	k r eː k ə	k r eː k t ə
⋊ k r eː k ə ⋉	⋊ k r aː k ə ⋉	0.75	4492.0	k r eː k ə	k r aː k ə
⋊ k r ɛ ɪ n ə ⋉	⋊ k r ɛ ɪ n d ə ⋉	0.969593147751606	427.0	k r ɛɪ n ə	k r ɛɪ n d ə
⋊ k r ɛ ɪ n ə ⋉	⋊ k r eː n ə ⋉	0.6089385474860335	10509.0	k r ɛɪ n ə	k r eː n ə
⋊ k r iː z ə ⋉	⋊ k r iː z d ə ⋉	0.9536178107606679	558.0	k r iː z ə	k r iː z d ə
⋊ k r iː z ə ⋉	⋊ k r oː z ə ⋉	0.5833333333333334	12130.0	k r iː z ə	k r oː z ə
⋊ k r ɪ m ə ⋉	⋊ k r ɪ m d ə ⋉	0.9546079779917469	548.0	k r ɪ m ə	k r ɪ m d ə
⋊ k r ɪ m ə ⋉	⋊ k r ɔ m ə ⋉	0.72	5558.0	k r ɪ m ə	k r ɔ m ə
⋊ k r ɪ ŋ ə ⋉	⋊ k r ɪ ŋ d ə ⋉	0.9444765760555234	652.0	k r ɪ ŋ ə	k r ɪ ŋ d ə
⋊ k r ɪ ŋ ə ⋉	⋊ k r ɔ ŋ ə ⋉	0.7692307692307693	4001.0	k r ɪ ŋ ə	k r ɔ ŋ ə
⋊ k w ɑ s ə ⋉	⋊ k w ɑ s t ə ⋉	0.9367088607594937	724.0	k w ɑ s ə	k w ɑ s t ə
⋊ k w ɑ s ə ⋉	⋊ k w iː s ə ⋉	0.3557692307692308	28049.0	k w ɑ s ə	k w iː s ə
⋊ n eː z ə ⋉	⋊ n aː r ə ⋉			n eː z ə	n aː r ə
⋊ n eː z ə ⋉	⋊ n aː z ə ⋉	0.32558139534883723	31171.0	n eː z ə	n aː z ə
⋊ n ɛ ɪ v ə ⋉	⋊ n ɛ ɪ v d ə ⋉	0.9210151126318791	926.0	n ɛɪ v ə	n ɛɪ v d ə
⋊ n ɛ ɪ v ə ⋉	⋊ n eː v ə ⋉	0.8021978021978022	3149.0	n ɛɪ v ə	n eː v ə
⋊ n ʊ ɪ k ə ⋉	⋊ n ʊ ɪ k t ə ⋉	0.8357894736842105	2271.0	n ʊɪ k ə	n ʊɪ k t ə
⋊ n ʊ ɪ k ə ⋉	⋊ n oː k ə ⋉	0.6590909090909091	7974.0	n ʊɪ k ə	n oː k ə
⋊ ɔ n t r aː r ə ⋉	⋊ ɔ n t r aː r d ə ⋉	0.9784419402253797	289.0	ɔ n t r aː r ə	ɔ n t r aː r d ə
⋊ ɔ n t r aː r ə ⋉	⋊ ɔ n t r iː r ə ⋉			ɔ n t r aː r ə	ɔ n t r iː r ə
⋊ ɔ n t r ʊ ɪ k ə ⋉	⋊ ɔ n t r ʊ ɪ k t ə ⋉	0.8357894736842105	2271.0	ɔ n t r ʊɪ k ə	ɔ n t r ʊɪ k t ə
⋊ ɔ n t r ʊ ɪ k ə ⋉	⋊ ɔ n t r oː k ə ⋉	0.6461538461538462	8593.0	ɔ n t r ʊɪ k ə	ɔ n t r oː k ə
⋊ p l ɛ ɪ z ə ⋉	⋊ p l ɛ ɪ z d ə ⋉	0.9536178107606679	558.0	p l ɛɪ z ə	p l ɛɪ z d ə
⋊ p l ɛ ɪ z ə ⋉	⋊ p l eː z ə ⋉	0.7222222222222222	5344.0	p l ɛɪ z ə	p l eː z ə
⋊ p r ɪ n ə ⋉	⋊ p r ɪ n d ə ⋉	0.969593147751606	427.0	p r ɪ n ə	p r ɪ n d ə
⋊ p r ɪ n ə ⋉	⋊ p r ɔ n ə ⋉	0.5789473684210527	12242.0	p r ɪ n ə	p r ɔ n ə
⋊ s n ɛ ɪ k ə ⋉	⋊ s n ɛ ɪ k t ə ⋉	0.8357894736842105	2271.0	s n ɛɪ k ə	s n ɛɪ k t ə
⋊ s n ɛ ɪ k ə ⋉	⋊ s n eː k ə ⋉	0.7117117117117117	5858.0	s n ɛɪ k ə	s n eː k ə
⋊ s n ʊ ɪ p ə ⋉	⋊ s n ʊ ɪ p t ə ⋉	0.7956989247311828	3346.0	s n ʊɪ p ə	s n ʊɪ p t ə
⋊ s n ʊ ɪ p ə ⋉	⋊ s n oː p ə ⋉	0.6825396825396826	6953.0	s n ʊɪ p ə	s n oː p ə
⋊ ʃ ɛ ɪ ɣ ə ⋉	⋊ ʃ ɛ ɪ ɣ d ə ⋉	0.9185694635488308	972.0	ʃ ɛɪ ɣ ə	ʃ ɛɪ ɣ d ə
⋊ ʃ ɛ ɪ ɣ ə ⋉	⋊ ʃ eː ɣ ə ⋉	0.8222222222222222	2611.0	ʃ ɛɪ ɣ ə	ʃ eː ɣ ə
⋊ ʃ ɪ n ə ⋉	⋊ ʃ ɪ n d ə ⋉	0.969593147751606	427.0	ʃ ɪ n ə	ʃ ɪ n d ə
⋊ ʃ ɪ n ə ⋉	⋊ ʃ ɔ n ə ⋉	0.5555555555555556	13527.0	ʃ ɪ n ə	ʃ ɔ n ə
⋊ ʃ ɪ ŋ k ə ⋉	⋊ ʃ ɪ ŋ k t ə ⋉	0.7689594356261023	4004.0	ʃ ɪ ŋ k ə	ʃ ɪ ŋ k t ə
⋊ ʃ ɪ ŋ k ə ⋉	⋊ ʃ ɔ ŋ k ə ⋉	0.6336633663366337	9147.0	ʃ ɪ ŋ k ə	ʃ ɔ ŋ k ə
⋊ t ɛ r v ə ⋉	⋊ t ɛ r v d ə ⋉	0.9210151126318791	926.0	t ɛ r v ə	t ɛ r v d ə
⋊ t ɛ r v ə ⋉	⋊ t iː r v ə ⋉	0.42105263157894735	22689.0	t ɛ r v ə	t iː r v ə
⋊ t r eː m ə ⋉	⋊ t r eː m d ə ⋉	0.9546079779917469	548.0	t r eː m ə	t r eː m d ə
⋊ t r eː m ə ⋉	⋊ t r aː m ə ⋉	0.34545454545454546	28374.0	t r eː m ə	t r aː m ə
⋊ t r eː z ə ⋉	⋊ t r aː r ə ⋉			t r eː z ə	t r aː r ə
⋊ t r eː z ə ⋉	⋊ t r aː z ə ⋉	0.3333333333333333	28593.0	t r eː z ə	t r aː z ə
⋊ t r iː z ə ⋉	⋊ t r iː z d ə ⋉	0.9536178107606679	558.0	t r iː z ə	t r iː z d ə
⋊ t r iː z ə ⋉	⋊ t r oː z ə ⋉	0.5833333333333334	12130.0	t r iː z ə	t r oː z ə
⋊ t r ɪ ŋ ə ⋉	⋊ t r ɪ ŋ d ə ⋉	0.9444765760555234	652.0	t r ɪ ŋ ə	t r ɪ ŋ d ə
