lemma	form	tag	model_rating
ɑ s ə	ɑ s t ə	V.PTCP;PST	0.9367088607594937
ɑ s ə	ɑ iː s ə	V.PTCP;PST	0
b ə l ɛɪ z ə	b ə l ɛɪ z d ə	V.PTCP;PST	0.9536178107606679
b ə l ɛɪ z ə	b ə l eː z ə	V.PTCP;PST	0.7222222222222222
b ə r aː ɣ ə	b ə r aː ɣ d ə	V.PTCP;PST	0.9185694635488308
b ə r aː ɣ ə	b ə r iː ɣ ə	V.PTCP;PST	0
b ə z eː l ə	b ə z eː l d ə	V.PTCP;PST	0.9792626728110599
b ə z eː l ə	b ə z aː l ə	V.PTCP;PST	0.4375
b ɛɪ ɣ ə	b ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
b ɛɪ ɣ ə	b eː ɣ ə	V.PTCP;PST	0.7326732673267327
b ɪ n ə	b ɪ n d ə	V.PTCP;PST	0.969593147751606
b ɪ n ə	b ɔ n ə	V.PTCP;PST	0.5555555555555556
b l aː ɣ ə	b l aː ɣ d ə	V.PTCP;PST	0.9185694635488308
b l aː ɣ ə	b l iː ɣ ə	V.PTCP;PST	0
b l aː p ə	b l aː p t ə	V.PTCP;PST	0.8974358974358975
b l aː p ə	b l iː p ə	V.PTCP;PST	0.4791666666666667
b r aː ɣ ə	b r aː ɣ d ə	V.PTCP;PST	0.9185694635488308
b r aː ɣ ə	b r uː ɣ ə	V.PTCP;PST	0.6333333333333333
b r ɪ ŋ k ə	b r ɪ ŋ k t ə	V.PTCP;PST	0.76895943562610225
b r ɪ ŋ k ə	b r ɔ ŋ k ə	V.PTCP;PST	0.75
d ɛɪ ɣ ə	d ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
d ɛɪ ɣ ə	d eː ɣ ə	V.PTCP;PST	0.7954545454545454
d r aː z ə	d r aː z d ə	V.PTCP;PST	0.9536178107606679
d r aː z ə	d r iː z ə	V.PTCP;PST	0.2835820895522388
d r eː k ə	d r eː k t ə	V.PTCP;PST	0.8085419734904271
